serial_number,itemid,quantity,price,expiration_days,priority,"gender","flags"
10000000,1002000,1,300,14,8,"both",""
10000001,1002015,1,300,14,8,"both",""
10000002,1002187,1,300,14,8,"both",""
10000003,1002292,1,300,14,8,"both",""
10000004,1042018,1,300,14,8,"both",""
10000005,1042024,1,300,14,8,"both",""
10000006,1050050,1,300,14,8,"both",""
10000007,1022001,1,300,14,8,"both",""
10000008,1022015,1,300,14,8,"both",""
10000009,1072111,1,300,14,8,"both",""
10000010,1001002,1,300,14,9,"female",""
10000011,1002224,1,300,14,9,"both",""
10000012,1002314,1,300,14,9,"both",""
10000013,1002312,1,300,14,9,"both",""
10000014,1002031,1,300,14,9,"both",""
10000015,1002470,1,300,14,9,"both",""
10000016,1051002,1,300,14,9,"female",""
10000017,1050017,1,300,14,9,"male",""
10000018,1051048,1,300,14,9,"female",""
10000019,1022029,1,300,14,9,"both",""
10000020,1002190,1,3500,90,7,"both",""
10000021,1002191,1,3500,90,7,"both",""
10000022,1022004,1,3700,90,7,"both",""
10000023,1052025,1,4600,90,8,"both",""
10000024,1040078,1,3000,90,7,"male",""
10000025,1041073,1,3000,90,7,"female",""
10000026,1060067,1,2400,90,7,"male",""
10000027,1062003,1,2700,90,7,"both",""
10000028,1061068,1,2400,90,7,"female",""
10000029,1072189,1,1800,90,7,"both",""
10000030,1002469,1,4000,90,7,"both",""
10000031,1012029,1,2700,90,7,"both",""
10000032,1002186,1,1800,90,8,"both",""
10000033,5150000,1,2100,90,8,"both",""
10000034,5151000,1,2100,90,8,"both",""
10000035,5120008,11,3000,90,7,"both",""
10000036,1002226,1,4100,90,7,"both",""
10000037,1041000,1,4100,90,7,"female",""
10000038,1002232,1,3500,90,7,"both",""
10000039,1042033,1,4100,90,7,"both",""
10000040,1022008,1,3500,90,7,"both",""
10000041,1052029,1,5100,90,7,"both",""
10000042,1002203,1,3500,90,7,"both",""
10000043,1002235,1,4300,90,7,"both",""
10000044,1002250,1,4100,90,7,"both",""
10000045,1042017,1,3500,90,7,"both",""
10000046,1042021,1,3500,90,7,"both",""
10000047,1042013,1,3700,90,7,"both",""
10000048,1052005,1,3900,90,7,"both",""
10000049,1050032,1,4300,90,7,"male",""
10000050,1022020,1,4000,90,7,"both",""
10000051,1022025,1,3700,90,7,"both",""
10000052,1002343,1,4100,90,7,"both",""
10000053,1002367,1,4500,90,8,"both",""
10000054,1002368,1,3700,90,7,"both",""
10000055,1042036,1,3700,90,7,"both",""
10000056,1052030,1,3500,90,7,"both",""
10000057,1051049,1,3000,90,7,"female",""
10000058,1012007,1,2700,90,7,"both",""
10000059,1702004,1,3900,90,7,"both",""
10000060,1702008,1,4100,90,7,"both",""
10000061,5120004,11,3000,90,7,"both",""
10000062,1102005,1,3700,90,8,"both",""
10000063,5000000,1,4900,0,8,"both",""
10000064,5000001,1,4900,0,8,"both",""
10000065,5000014,1,6700,0,7,"both",""
10000066,1812000,1,2400,90,8,"both",""
10000067,1002266,1,3900,90,7,"both",""
10000068,1072217,1,2100,90,7,"both",""
10000069,1112109,1,4000,90,7,"both",""
10000070,1002352,1,3900,90,7,"both",""
10000071,1002356,1,3700,90,7,"both",""
10000072,1002228,1,3000,90,7,"both",""
10000073,1012005,1,2700,90,8,"both",""
10000074,1022024,1,3700,90,8,"both",""
10000075,1072010,1,1800,90,7,"both",""
10000076,1802000,1,2000,90,7,"both",""
10000077,1112212,1,4500,90,7,"both",""
10000078,5150004,1,2100,90,8,"both",""
10000079,5151004,1,2100,90,8,"both",""
10000080,1022023,1,3700,90,7,"both",""
10000081,1042051,1,3500,90,7,"both",""
10000082,1042053,1,3700,90,7,"both",""
10000083,1062045,1,2400,90,7,"both",""
10000084,1812001,1,2400,90,8,"both",""
