id,dropperid,"flags",itemid,minimum_quantity,maximum_quantity,questid,chance
1,100100,"",4000019,1,1,0,450458
2,100100,"",2000000,1,1,0,36207
3,100100,"",2040002,1,1,0,453
4,100100,"",2041001,1,1,0,247
5,100100,"",2060000,10,25,0,32859
6,100100,"",4010000,1,1,0,18332
7,100100,"",4020000,1,1,0,16849
8,100100,"",2061000,10,25,0,24648
9,100100,"",1002067,1,1,0,120
10,100100,"",2010009,1,1,0,31883
11,100101,"",4000000,1,1,0,426372
12,100101,"",2041006,1,1,0,748
13,100101,"",2000000,1,1,0,43189
14,100101,"",4020001,1,1,0,19493
15,100101,"",2060000,10,25,0,37837
16,100101,"",4010001,1,1,0,16050
17,100101,"",2061000,10,25,0,36821
18,100101,"",1040013,1,1,0,430
19,100101,"",1041012,1,1,0,114
20,100101,"",1060004,1,1,0,322
21,100101,"",1040017,1,1,0,46
22,100101,"",1060013,1,1,0,390
23,100101,"",2010009,1,1,0,38595
24,1110100,"",4000012,1,1,0,444960
25,1110100,"",2000000,1,1,0,39255
26,1110100,"",2043102,1,1,0,315
27,1110100,"",2000003,1,1,0,43178
28,1110100,"",4020003,1,1,0,17659
29,1110100,"",1322000,1,1,0,614
30,1110100,"",2060000,10,25,0,34286
31,1110100,"",1041044,1,1,0,491
32,1110100,"",1061037,1,1,0,308
33,1110100,"",4010004,1,1,0,17942
34,1110100,"",1092008,1,1,0,185
35,1110100,"",1041017,1,1,0,265
36,1110100,"",1061012,1,1,0,215
37,1110100,"",1462002,1,1,0,113
38,1110100,"",2061000,10,25,0,23197
39,1110100,"",1041063,1,1,0,338
40,1110100,"",1061059,1,1,0,220
41,1110100,"",1452003,1,1,0,235
42,1110100,"",2048000,1,1,0,661
43,1110100,"",1002033,1,1,0,93
44,1110100,"",1302007,1,1,0,694
45,1110100,"",4020002,1,1,0,16049
46,1110100,"",1032001,1,1,0,27
47,1110100,"",1002010,1,1,0,67
48,1110100,"",2000001,1,1,0,47699
49,1110100,"",1002143,1,1,0,35
