itemid,"flags","cure_ailments",effect,hp,mp,hp_percentage,mp_percentage,move_to,decrease_hunger,decrease_fatigue,carnival_points,create_item,prob,buff_time,weapon_attack,magic_attack,weapon_defense,magic_defense,accuracy,avoid,speed,jump,morph,"drop_up",drop_up_item,drop_up_item_range,drop_up_map_ranges,defense_vs_ice,defense_vs_fire,defense_vs_lightning,defense_vs_poison,defense_vs_stun,defense_vs_weakness,defense_vs_curse,defense_vs_darkness,defense_vs_seal
2000000,"","",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000001,"","",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000002,"","",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000003,"","",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000004,"","",0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000005,"","",0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000006,"","",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000007,"","",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000008,"","",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000009,"","",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000010,"","",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000011,"","",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000012,"","",0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000013,"","",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000014,"","",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000015,"","",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000016,"","",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000017,"","",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000018,"","",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000019,"","",0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000020,"","",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000021,"","",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000022,"","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2000023,"","",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2001000,"","",0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2001001,"","",0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2001002,"","",0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002000,"","",0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,5,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002001,"","",0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,8,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002002,"","",0,0,0,0,0,0,0,0,0,0,0,180,0,5,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002003,"","",0,0,0,0,0,0,0,0,0,0,0,180,0,10,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002004,"","",0,0,0,0,0,0,0,0,0,0,0,180,5,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
