itemid,"inventory",price,max_slot_quantity,max_possession_count,min_level,max_level,experience,money,state_change_item,level_for_maker,npc,"flags"
1000000,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000001,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000002,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000003,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000004,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000005,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1000006,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1000007,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000008,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000009,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000010,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000011,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000012,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000013,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000014,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000015,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000016,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000017,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000018,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000019,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000020,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000021,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000022,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000023,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000025,"equip",1,1,0,0,200,0,0,0,0,0,""
1000026,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000027,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1000029,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000030,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000031,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000032,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1000035,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001000,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001001,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001002,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001003,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001004,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001005,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1001006,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1001007,"equip",1,1,0,5,200,0,0,0,0,0,"cash_item"
1001008,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001009,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001010,"equip",1,1,0,5,200,0,0,0,0,0,"cash_item"
1001011,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001012,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001013,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001014,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001015,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001016,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001017,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001018,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001019,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001020,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001021,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001022,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001023,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001024,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001025,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001026,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001027,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001028,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001029,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001030,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001031,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001032,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001033,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001035,"equip",1,1,0,0,200,0,0,0,0,0,""
1001036,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001037,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001038,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001039,"equip",1,1,0,10,200,0,0,0,0,0,"cash_item"
1001042,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001043,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001044,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001045,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001046,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001047,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001048,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001049,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1001055,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002000,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002001,"equip",1500,1,0,15,200,0,0,0,0,0,""
1002002,"equip",1500,1,0,10,200,0,0,0,0,0,""
1002003,"equip",2250,1,0,12,200,0,0,0,0,0,""
1002004,"equip",40000,1,0,35,200,0,0,0,0,0,""
1002005,"equip",9500,1,0,25,200,0,0,0,0,0,""
1002006,"equip",40000,1,0,42,200,0,0,0,0,0,""
1002007,"equip",3250,1,0,15,200,0,0,0,0,0,""
1002008,"equip",250,1,0,5,200,0,0,0,0,0,""
1002009,"equip",5250,1,0,20,200,0,0,0,0,0,""
1002010,"equip",450,1,0,10,200,0,0,0,0,0,""
1002011,"equip",5000,1,0,20,200,0,0,0,0,0,""
1002012,"equip",1500,1,0,20,200,0,0,0,0,0,""
1002013,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002014,"equip",500,1,0,5,200,0,0,0,0,0,""
1002015,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002016,"equip",4000,1,0,20,200,0,0,0,0,0,""
1002017,"equip",600,1,0,10,200,0,0,0,0,0,""
1002018,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002019,"equip",1000,1,0,10,200,0,0,0,0,0,""
1002020,"equip",3700,1,0,25,200,0,0,0,0,0,""
1002021,"equip",70000,1,0,40,200,0,0,0,0,0,""
1002022,"equip",110000,1,0,55,200,0,0,0,0,0,""
1002023,"equip",30000,1,0,30,200,0,0,0,0,0,""
1002024,"equip",90000,1,0,47,200,0,0,0,0,0,""
1002025,"equip",25000,1,0,40,200,0,0,0,0,0,""
1002026,"equip",6000,1,0,25,200,0,0,0,0,0,""
1002027,"equip",5750,1,0,22,200,0,0,0,0,0,""
1002028,"equip",100000,1,0,50,200,0,0,0,0,0,""
1002029,"equip",150000,1,0,60,200,0,0,0,0,0,""
1002030,"equip",170000,1,0,70,200,0,0,0,0,0,""
1002031,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002032,"equip",1,1,0,0,200,0,0,0,0,0,"cash_item"
1002033,"equip",1500,1,0,15,200,0,0,0,0,0,""
1002034,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002035,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002036,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002037,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002038,"equip",15000,1,0,30,200,0,0,0,0,0,""
1002039,"equip",1350,1,0,12,200,0,0,0,0,0,""
1002040,"equip",3000,1,0,12,200,0,0,0,0,0,""
1002041,"equip",2500,1,0,15,200,0,0,0,0,0,""
1002042,"equip",2500,1,0,15,200,0,0,0,0,0,""
1002043,"equip",1200,1,0,10,200,0,0,0,0,0,""
1002044,"equip",2000,1,0,10,200,0,0,0,0,0,""
1002045,"equip",30000,1,0,42,200,0,0,0,0,0,""
1002046,"equip",30000,1,0,42,200,0,0,0,0,0,""
1002047,"equip",45000,1,0,35,200,0,0,0,0,0,""
1002048,"equip",45000,1,0,35,200,0,0,0,0,0,""
1002049,"equip",12000,1,0,25,200,0,0,0,0,0,""
1002050,"equip",14000,1,0,25,200,0,0,0,0,0,""
