itemid,"flags","equip_slots",attack_speed,heal_hp,scroll_slots,specialid,req_str,req_dex,req_int,req_luk,req_fame,"req_job",hp,mp,strength,dexterity,intelligence,luck,hands,weapon_attack,weapon_defense,magic_attack,magic_defense,accuracy,avoid,jump,speed,traction,recovery,knockback,taming_mob,inc_lightning_damage,inc_ice_damage,inc_fire_damage,inc_poison_damage,elemental_default
1000000,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000001,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000002,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000003,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000004,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000005,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000006,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000007,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000008,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000009,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000010,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000011,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000012,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000013,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000014,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000015,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000016,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000017,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000018,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000019,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000020,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000021,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000022,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000023,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000025,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000026,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000027,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000029,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000030,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000031,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000032,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1000035,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001000,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001001,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001002,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001003,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001004,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001005,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001006,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001007,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001008,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
1001009,"","helmet",0,0,0,0,0,0,0,0,0,"beginner,warrior,magician,bowman,thief,pirate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100
