id,scrollid,req_itemid
1,2040023,1002867
2,2040110,1012011
3,2040110,1012012
4,2040110,1012013
5,2040110,1012014
6,2040110,1012015
7,2040110,1012016
8,2040110,1012017
9,2040110,1012018
10,2040110,1012019
11,2040110,1012020
12,2040111,1012011
13,2040111,1012012
14,2040111,1012013
15,2040111,1012014
16,2040111,1012015
17,2040111,1012016
18,2040111,1012017
19,2040111,1012018
20,2040111,1012019
21,2040111,1012020
22,2040112,1012011
23,2040112,1012012
24,2040112,1012013
25,2040112,1012014
26,2040112,1012015
27,2040112,1012016
28,2040112,1012017
29,2040112,1012018
30,2040112,1012019
31,2040112,1012020
32,2040113,1012011
33,2040113,1012012
34,2040113,1012013
35,2040113,1012014
36,2040113,1012015
37,2040113,1012016
38,2040113,1012017
39,2040113,1012018
40,2040113,1012019
41,2040113,1012020
42,2040114,1012011
43,2040114,1012012
44,2040114,1012013
45,2040114,1012014
46,2040114,1012015
47,2040114,1012016
48,2040114,1012017
49,2040114,1012018
50,2040114,1012019
51,2040114,1012020
52,2040115,1012011
53,2040115,1012012
54,2040115,1012013
55,2040115,1012014
56,2040115,1012015
57,2040115,1012016
58,2040115,1012017
59,2040115,1012018
60,2040115,1012019
61,2040115,1012020
62,2040116,1012011
63,2040116,1012012
64,2040116,1012013
65,2040116,1012014
66,2040116,1012015
67,2040116,1012016
68,2040116,1012017
69,2040116,1012018
70,2040116,1012019
71,2040116,1012020
72,2040117,1012011
73,2040117,1012012
74,2040117,1012013
75,2040117,1012014
76,2040117,1012015
77,2040117,1012016
78,2040117,1012017
79,2040117,1012018
80,2040117,1012019
81,2040117,1012020
82,2040118,1012011
83,2040118,1012012
84,2040118,1012013
85,2040118,1012014
86,2040118,1012015
87,2040118,1012016
88,2040118,1012017
89,2040118,1012018
90,2040118,1012019
91,2040118,1012020
92,2040119,1012011
93,2040119,1012012
94,2040119,1012013
95,2040119,1012014
96,2040119,1012015
97,2040119,1012016
98,2040119,1012017
99,2040119,1012018
100,2040119,1012019
101,2040119,1012020
102,2040315,1032040
103,2040315,1032041
104,2040315,1032042
105,2040728,1072375
106,2040728,1072376
107,2040729,1072375
108,2040729,1072376
109,2040730,1072375
110,2040730,1072376
111,2040731,1072375
112,2040731,1072376
113,2040732,1072375
114,2040732,1072376
115,2040733,1072375
116,2040733,1072376
117,2040734,1072375
118,2040734,1072376
119,2040735,1072375
120,2040735,1072376
121,2040736,1072375
122,2040736,1072376
123,2040737,1072375
124,2040737,1072376
125,2040738,1072375
126,2040738,1072376
127,2040739,1072375
128,2040739,1072376
129,2040912,1092045
130,2040912,1092046
131,2040912,1092047
132,2041059,1102166
133,2041059,1102167
134,2041059,1102168
135,2041060,1102166
136,2041060,1102167
137,2041060,1102168
138,2041061,1102166
139,2041061,1102167
140,2041061,1102168
141,2041062,1102166
142,2041062,1102167
143,2041062,1102168
144,2041200,1122000
145,2041211,1122007
146,2041212,1122010
147,2043013,1302064
148,2043021,1302119
149,2043108,1312032
150,2043116,1312045
151,2043208,1322054
152,2043216,1322073
153,2043308,1332055
154,2043308,1332056
155,2043311,1332088
156,2043708,1372034
157,2043711,1372053
158,2043808,1382039
159,2043811,1382070
160,2044008,1402039
161,2044024,1402064
162,2044108,1412027
163,2044116,1412042
164,2044208,1422029
165,2044216,1422045
166,2044308,1432040
167,2044316,1432057
168,2044408,1442051
169,2044416,1442082
170,2044508,1452045
171,2044511,1452073
172,2044608,1462040
173,2044611,1462066
174,2044708,1472055
175,2044711,1472089
176,2044810,1482022
177,2044816,1482037
178,2044905,1492022
179,2044909,1492038
180,2049101,1012058
181,2049101,1012059
182,2049101,1012060
183,2049101,1012061
184,2049102,1012098
185,2049102,1012101
186,2049102,1012102
187,2049102,1012103
188,2049103,1072360
189,2049104,1002797
190,2049104,1032055
191,2049104,1102174
192,2049104,1072366
193,2049104,1072368
194,2049104,1082244
195,2049104,1052165
196,2049104,1052166
197,2049104,1052167
198,2049104,1002800
199,2049104,1032056
200,2049104,1032057
201,2049104,1032058
202,2049104,1082245
203,2049105,1082252
204,2049106,1082252
205,2049107,1082252
206,2049108,1082252
207,2049109,1082252
208,2049110,1082252
209,2049113,1302131
210,2049113,1003027
211,2049114,1132014
212,2049114,1132015
213,2049114,1132016
214,2049112,1302119
215,2049112,1312045
216,2049112,1322073
217,2049112,1402064
218,2049112,1412042
219,2049112,1422045
220,2049112,1432057
221,2049112,1442082
222,2049112,1372053
223,2049112,1382070
224,2049112,1452073
225,2049112,1462066
226,2049112,1332088
227,2049112,1472089
228,2049112,1482037
229,2049112,1492038
