itemid,item_level,skillid,skill_level,probability
1002776,6,1121006,1,1
1002776,6,1221007,1,1
1002776,6,1321003,1,1
1002776,6,21120002,1,1
1002777,6,2121003,1,1
1002777,6,2221003,1,1
1002777,6,2321005,1,1
1002778,6,3121002,1,1
1002778,6,3221002,1,1
1002779,6,4121003,1,1
1002779,6,4221003,1,1
1002780,6,5121009,1,1
1002780,6,5220011,1,1
1002790,4,1121006,1,1
1002790,4,1221007,1,1
1002790,4,1321003,1,1
1002790,4,21120002,1,1
1002791,4,2121003,1,1
1002791,4,2221003,1,1
1002791,4,2321005,1,1
1002792,4,3121002,1,1
1002792,4,3221002,1,1
1002793,4,4121003,1,1
1002793,4,4221003,1,1
1002794,4,5121009,1,1
1002794,4,5220011,1,1
1052155,6,1120004,1,1
1052155,6,1220005,1,1
1052155,6,1320005,1,1
1052155,6,21120004,1,1
1052156,6,2121004,1,1
1052156,6,2221004,1,1
1052156,6,2321004,1,1
1052157,6,3121007,1,1
1052157,6,3221006,1,1
1052158,6,4120002,1,1
1052158,6,4220002,1,1
1052159,6,5121003,1,1
1052159,6,5221006,1,1
1052160,4,1120004,1,1
1052160,4,1220005,1,1
1052160,4,1320005,1,1
1052160,4,21120004,1,1
1052161,4,2121004,1,1
1052161,4,2221004,1,1
1052161,4,2321004,1,1
1052162,4,3121007,1,1
1052162,4,3221006,1,1
1052163,4,4120002,1,1
1052163,4,4220002,1,1
1052164,4,5121003,1,1
1052164,4,5221006,1,1
1072355,6,1121002,1,1
1072355,6,1221002,1,1
1072355,6,1321002,1,1
1072355,6,21121003,1,1
1072356,6,2121001,1,1
1072356,6,2221001,1,1
1072356,6,2321001,1,1
1072357,6,3121003,1,1
1072357,6,3221003,1,1
1072358,6,4121006,1,1
1072358,6,4221001,1,1
1072359,6,5121001,1,1
1072359,6,5221008,1,1
1072361,4,1121002,1,1
1072361,4,1221002,1,1
1072361,4,1321002,1,1
1072361,4,21121003,1,1
1072362,4,2121001,1,1
1072362,4,2221001,1,1
1072362,4,2321001,1,1
1072363,4,3121003,1,1
1072363,4,3221003,1,1
1072364,4,4121006,1,1
1072364,4,4221001,1,1
1072365,4,5121001,1,1
1072365,4,5221008,1,1
1082234,6,1120003,1,1
1082234,6,1220010,1,1
1082234,6,1320008,1,1
1082234,6,1320009,1,1
1082234,6,21120001,1,1
1082235,6,2121005,1,1
1082235,6,2221005,1,1
1082235,6,2321003,1,1
1082236,6,3120005,1,1
1082236,6,3220004,1,1
1082237,6,4120005,1,1
1082237,6,4220005,1,1
1082238,6,5121005,1,1
1082238,6,5221007,1,1
1082239,4,1120003,1,1
1082239,4,1220010,1,1
1082239,4,1320008,1,1
1082239,4,1320009,1,1
1082239,4,21120001,1,1
1082240,4,2121005,1,1
1082240,4,2221005,1,1
1082240,4,2321003,1,1
1082241,4,3120005,1,1
1082241,4,3220004,1,1
1082242,4,4120005,1,1
1082242,4,4220005,1,1
1082243,4,5121005,1,1
1082243,4,5221007,1,1
1092057,6,2121002,1,1
1092057,6,2221002,1,1
1092057,6,2321002,1,1
1092058,6,1120005,1,1
1092058,6,1220006,1,1
1092059,6,4221004,1,1
1302081,6,1121008,1,1
1302081,6,1221009,1,1
1302086,4,1121008,1,1
1302086,4,1221009,1,1
1312037,6,1121008,1,1
1312038,4,1121008,1,1
1322060,6,1221009,1,1
1322061,4,1221009,1,1
1332073,6,4221007,1,1
1332074,6,4221007,1,1
1332075,4,4221007,1,1
1332076,4,4221007,1,1
1372044,6,2121006,1,1
1372044,6,2221006,1,1
1372044,6,2321007,1,1
1372045,4,2121006,1,1
1372045,4,2221006,1,1
1372045,4,2321007,1,1
1382057,6,2121006,1,1
1382057,6,2221006,1,1
1382057,6,2321007,1,1
1382059,4,2121006,1,1
1382059,4,2221006,1,1
1382059,4,2321007,1,1
1402046,6,1121008,1,1
1402046,6,1221009,1,1
1402047,4,1121008,1,1
1402047,4,1221009,1,1
1412033,6,1121008,1,1
1412034,4,1121008,1,1
1422037,6,1221009,1,1
1422038,4,1221009,1,1
1432047,6,1321007,1,1
1432049,4,1321007,1,1
1442063,6,1321007,1,1
1442063,6,21120005,1,1
1442067,4,1321007,1,1
1442067,4,21120005,1,1
1452057,6,3121004,1,1
1452059,4,3121004,1,1
1462050,6,3221001,1,1
1462051,4,3221001,1,1
1472068,6,4121007,1,1
1472071,4,4121007,1,1
1482023,6,5121007,1,1
1482024,4,5121007,1,1
1492023,6,5221004,1,1
1492025,4,5221004,1,1
