_id,"flags","shuffleName","defaultMusic",minLevel,timeLimit,regenRate,traction,topx,topy,bottomx,bottomy,returnMap,forcedReturnMap,fieldType,fieldLimitations,decreaseHp,damagePerSecond,protectItem,shipKind,mobRate,link
0,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,10000,10000,"","",0,0,0,-1,1.00000000000,0
1,"","","BgmJp/FirstStepMaster",0,0,1,1.000000000000000,-4203,-470,1600,320,1,999999999,"no_clue2,no_clue5,force_map_equip","summoning_bag,mystic_door,regular_exp_loss,vip_rock,minigames,no_clue4",0,0,0,-1,1.00000000000,0
2,"town","","BgmJp/FirstStepMaster",0,0,1,1.000000000000000,-3252,-470,2046,307,2,999999999,"no_clue2,no_clue5,force_map_equip","summoning_bag,mystic_door,regular_exp_loss,vip_rock,minigames,no_clue4",0,0,0,-1,0.49999991059,0
3,"town","","BgmJp/FirstStepMaster",0,0,1,1.000000000000000,0,0,0,0,3,999999999,"","vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
10000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-315,-480,1390,750,10000,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
20000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-270,-540,810,455,20000,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
20001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-540,-660,450,455,20001,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
30000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-270,-660,1170,394,30000,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
30001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-540,-660,450,455,30001,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
40000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-270,-1260,1170,395,40000,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
40001,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-269,-1440,1704,575,60000,999999999,"","summoning_bag",0,0,0,-1,1.00000023842,0
40002,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,90,-1260,1974,574,60000,999999999,"","summoning_bag",0,0,0,-1,1.00000023842,0
50000,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-89,-1080,1529,574,1000000,999999999,"","summoning_bag",0,0,0,-1,1.60000038147,0
50001,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,138,-780,2018,543,60000,999999999,"","summoning_bag",0,0,0,-1,1.50000035763,0
60000,"town","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-630,-1680,4050,707,60000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
60001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,60000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1000000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-185,-900,2515,453,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1000001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1000002,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1000003,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1000004,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,719,-1020,2336,695,1010000,999999999,"","summoning_bag",0,0,0,-1,1.00000000000,0
1000005,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-810,-1140,895,395,1010000,999999999,"","summoning_bag",0,0,0,-1,1.00000000000,0
1000006,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-1080,-2100,900,-566,1010000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
