id,mapid,"life_type",lifeid,"life_name",x_pos,y_pos,foothold,min_click_pos,max_click_pos,respawn_time,"flags"
1,801000002,"npc",9120103,"Saeko",-262,-58,9,-312,-212,0,""
2,801000002,"npc",9120102,"Hikekuro",-260,159,10,-310,-210,0,"faces_left"
3,889100000,"npc",9105004,"Snow Spirit",85,-26,33,70,110,0,""
4,889100000,"npc",9105005,"Snowman",-406,154,10,-456,-356,0,""
5,809050009,"reactor",8098000,NULL,136,86,0,0,0,-1,""
6,809050009,"reactor",8098000,NULL,-106,145,0,0,0,-1,""
7,809050009,"reactor",8091001,NULL,-7,-28,0,0,0,-1,""
8,800010100,"mob",9400205,"Blue Mushmom",450,95,38,-469,739,82800,""
9,800010100,"mob",7130000,"Lucida",-321,95,45,-469,739,0,""
10,800010100,"mob",7130000,"Lucida",-130,95,42,-469,739,0,""
11,800010100,"mob",7130000,"Lucida",108,95,36,-469,739,0,""
12,800010100,"mob",7130000,"Lucida",370,95,38,-469,739,0,""
13,800010100,"mob",7130000,"Lucida",476,-265,26,-199,559,0,""
14,800010100,"mob",7130000,"Lucida",334,-265,30,-199,559,0,""
15,800010100,"mob",7130000,"Lucida",193,-265,31,-199,559,0,""
16,800010100,"mob",7130000,"Lucida",-39,-265,25,-199,559,0,""
17,800010100,"mob",7130000,"Lucida",-92,-535,18,-154,424,0,""
18,800010100,"mob",7130000,"Lucida",70,-535,11,-154,424,0,"faces_left"
19,800010100,"mob",7130000,"Lucida",206,-535,14,-154,424,0,""
20,800010100,"mob",7130000,"Lucida",335,-535,15,-154,424,0,""
21,800010100,"mob",7130000,"Lucida",93,-745,5,-19,379,0,""
22,800010100,"mob",7130000,"Lucida",217,-745,4,-19,379,0,""
23,800010100,"mob",7130000,"Lucida",257,95,35,-469,739,0,"faces_left"
24,889100010,"npc",9105004,"Snow Spirit",85,-26,33,70,110,0,""
25,889100010,"npc",9105005,"Snowman",-423,154,10,-473,-373,0,""
26,801040004,"mob",8140500,"Bain",-1257,161,12,-1505,-1170,0,""
27,801040004,"mob",8140500,"Bain",-983,161,11,-1130,-795,0,"faces_left"
28,801040004,"mob",8140500,"Bain",-681,161,10,-755,-420,0,""
