mapId,id,label,xPos,yPos,destination,destinationLabel,script,flags
0,0,"sp",0,0,999999999,"","",""
1,0,"sp",1338,-72,999999999,"","",""
1,1,"sp",1280,-73,999999999,"","",""
1,2,"sp",1379,-56,999999999,"","",""
1,3,"next00",-4020,175,2,"front00","",""
2,0,"sp",-3088,145,999999999,"","",""
2,1,"front00",-2985,175,1,"next00","",""
3,0,"sp",49,1178,999999999,"","",""
3,1,"sp",134,1190,999999999,"","",""
3,2,"st00",47,1232,999999999,"999999999","",""
10000,0,"sp",-93,450,999999999,"","",""
10000,1,"sp",-114,453,999999999,"","",""
10000,2,"sp",-89,451,999999999,"","",""
10000,3,"out00",1077,480,20000,"in00","","only_once"
10000,4,"tuto00",-95,428,999999999,"","tutoChatNPC","only_once"
10000,5,"tuto01",280,455,999999999,"","infoMinimap","only_once"
10000,6,"glBmsg0",987,430,999999999,"","glTutoMsg0",""
10000,7,"glBmsg1",1164,431,999999999,"","glTutoMsg0",""
20000,0,"sp",-91,181,999999999,"","",""
20000,1,"in00",-140,273,999999999,"","",""
20000,2,"out00",630,210,30000,"in00","","only_once"
20000,3,"glBmsg0",543,168,999999999,"","glTutoMsg0",""
20001,0,"sp",-329,241,999999999,"","",""
20001,1,"out00",-167,244,20000,"in01","",""
30000,0,"sp",-144,152,999999999,"","",""
30000,1,"sp",-207,123,999999999,"","",""
30000,2,"sp",-173,125,999999999,"","",""
30000,3,"in00",-184,213,999999999,"","",""
30000,4,"in01",557,94,30001,"out00","","only_once"
30000,5,"out00",1046,94,40000,"in00","","only_once"
30000,6,"glBmsg0",915,53,999999999,"","glTutoMsg0",""
30001,0,"sp",-329,241,999999999,"","",""
30001,1,"out00",-167,244,30000,"in01","","only_once"
40000,0,"sp",-77,122,999999999,"","",""
40000,1,"in00",-199,215,999999999,"","",""
40000,2,"out00",975,151,50000,"in00","","only_once"
40000,3,"tuto00",88,194,999999999,"","infoAttack","only_once"
40000,4,"tuto01",657,133,999999999,"","infoPickup","only_once"
40000,5,"tuto02",824,133,999999999,"","infoSkill","only_once"
40001,0,"sp",-4,314,999999999,"","",""
40001,1,"sp",-56,315,999999999,"","",""
40001,2,"sp",-111,317,999999999,"","",""
40001,3,"sp",-176,315,999999999,"","",""
40001,4,"sp",-219,313,999999999,"","",""
40001,5,"west00",-163,391,40000,"east00","",""
40001,6,"east00",1585,388,40002,"west00","",""
40001,7,"adviceMap00",-71,357,999999999,"","adviceMap","only_once"
40001,8,"adviceMap01",1485,357,999999999,"","adviceMap","only_once"
40002,0,"sp",178,303,999999999,"","",""
40002,1,"sp",291,296,999999999,"","",""
40002,2,"sp",240,298,999999999,"","",""
40002,3,"east00",1874,-450,50000,"west00","",""
40002,4,"west00",202,329,40001,"east00","",""
40002,5,"advcieMap00",300,296,999999999,"","adviceMap","only_once"
40002,6,"adviceMap01",1777,-479,999999999,"","adviceMap","only_once"
50000,0,"sp",41,195,999999999,"","",""
50000,1,"sp",59,190,999999999,"","",""
50000,2,"sp",87,187,999999999,"","",""
50000,3,"sp",44,196,999999999,"","",""
50000,4,"in00",11,335,999999999,"","",""
50000,5,"east00",1430,269,1000000,"west00","","only_once"
50000,6,"tuto00",1228,244,999999999,"","infoWorldmap","only_once"
50001,0,"sp",324,179,999999999,"","",""
50001,1,"west00",228,361,50000,"east01","",""
50001,2,"east00",1907,360,60000,"west00","",""
50001,3,"in00",1275,-181,1000001,"out00","",""
50001,4,"in01",1750,-181,1000002,"out00","",""
50001,5,"adviceMap00",322,325,999999999,"","adviceMap","only_once"
50001,6,"adviceMap01",1818,325,999999999,"","adviceMap","only_once"
60000,0,"sp",-59,251,999999999,"","",""
60000,1,"gm00",-65,43,999999999,"","",""
60000,2,"ev99",35,284,999999999,"ev99","",""
60000,3,"west00",-547,286,50001,"east00","",""
60000,4,"in00",699,527,60001,"out00","",""
60000,5,"ev00",-181,0,60000,"ev99","","only_once"
60000,6,"ev01",-181,-103,60000,"ev99","","only_once"
60000,7,"ev02",-146,-205,60000,"ev99","","only_once"
60000,8,"ev03",-43,-205,60000,"ev99","","only_once"
60000,9,"ev04",60,-204,60000,"ev99","","only_once"
60000,10,"ev05",92,-102,60000,"ev99","","only_once"
60000,11,"ev06",92,0,60000,"ev99","","only_once"
60000,12,"adviceMap00",-459,247,999999999,"","adviceMap","only_once"
60000,13,"adviceMap01",2998,-54,999999999,"","adviceMap","only_once"
60000,14,"tp",870,526,999999999,"","",""
60000,15,"tp",955,523,999999999,"","",""
60000,16,"tp",1058,523,999999999,"","",""
60000,17,"tp",1147,524,999999999,"","",""
60000,18,"tp",1239,524,999999999,"","",""
60000,19,"tp",1327,524,999999999,"","",""
60001,0,"sp",-114,115,999999999,"","",""
60001,1,"out00",-48,181,60000,"in00","",""
1000000,0,"sp",240,190,999999999,"","",""
1000000,1,"west00",-66,272,50000,"east00","","only_once"
1000000,2,"in00",658,-59,1000001,"out00","","only_once"
1000000,3,"in02",1279,151,1000003,"out00","","only_once"
1000000,4,"east00",2197,270,1010000,"west00","","only_once"
1000000,5,"tuto00",567,228,999999999,"","infoReactor","only_once"
1000000,6,"tuto01",202,226,999999999,"","infoReactor","only_once"
1000000,7,"tp",354,276,999999999,"","",""
1000000,8,"tp",440,281,999999999,"","",""
1000000,9,"tp",640,274,999999999,"","",""
1000000,10,"tp",511,277,999999999,"","",""
1000000,11,"tp",188,275,999999999,"","",""
1000000,12,"tp",271,265,999999999,"","",""
1000001,0,"sp",-114,115,999999999,"","",""
1000001,1,"out00",-48,181,1000000,"in00","","only_once"
1000002,0,"sp",-329,241,999999999,"","",""
1000002,1,"out00",-167,244,1000000,"in01","","only_once"
1000003,0,"sp",-114,115,999999999,"","",""
1000003,1,"out00",300,182,1000000,"in02","","only_once"
1000004,0,"sp",827,284,999999999,"","",""
1000004,1,"sp",886,283,999999999,"","",""
1000004,2,"sp",999,280,999999999,"","",""
1000004,3,"out00",890,331,1000000,"in01","",""
1000005,0,"sp",-203,60,999999999,"","",""
1000005,1,"sp",-326,-41,999999999,"","",""
1000005,2,"sp",-122,114,999999999,"","",""
1000005,3,"sp",-57,110,999999999,"","",""
1000005,4,"sp",9,107,999999999,"","",""
1000005,5,"sp",213,101,999999999,"","",""
1000005,6,"out00",132,155,1020000,"in01","",""
1000006,0,"sp",-304,-1368,999999999,"","",""
1000006,1,"sp",-515,-1415,999999999,"","",""
1000006,2,"sp",-60,-1361,999999999,"","",""
1000006,3,"sp",1,-1413,999999999,"","",""
1000006,4,"sp",174,-1414,999999999,"","",""
1000006,5,"sp",230,-1412,999999999,"","",""
1000006,6,"sp",409,-1433,999999999,"","",""
1000006,7,"out00",133,-1346,1020000,"in02","",""
1010000,0,"sp",-288,27,999999999,"","",""
1010000,1,"in00",74,154,999999999,"","entertraining","only_once"
1010000,2,"sp",-349,-45,999999999,"","",""
1010000,3,"sp",257,132,999999999,"","",""
1010000,4,"east00",683,211,1020000,"west00","",""
1010000,5,"sp",213,101,999999999,"","",""
1010000,6,"west00",-426,212,1000000,"east00","","only_once"
1010001,0,"sp",-114,115,999999999,"","",""
1010001,1,"out00",-48,181,1010000,"in00","",""
1010002,0,"sp",-329,241,999999999,"","",""
1010002,1,"out00",-167,244,1010000,"in01","",""
1010002,2,"west00",-465,275,1010004,"east00","",""
1010003,0,"sp",-114,115,999999999,"","",""
1010003,1,"out00",300,182,1010000,"in02","",""
1010004,0,"sp",-779,-532,999999999,"","",""
1010004,1,"sp",-668,-502,999999999,"","",""
1010004,2,"sp",-495,-499,999999999,"","",""
1010004,3,"sp",-416,-484,999999999,"","",""
1010004,4,"sp",-127,-492,999999999,"","",""
1010004,5,"sp",-80,-459,999999999,"","",""
1010004,6,"sp",228,-506,999999999,"","",""
1010004,7,"sp",291,-494,999999999,"","",""
1010004,8,"sp",361,-475,999999999,"","",""
1010004,9,"sp",422,-494,999999999,"","",""
1010004,10,"sp",537,-518,999999999,"","",""
1010004,11,"east00",557,-447,1010002,"west00","",""
1010100,0,"sp",315,-760,999999999,"","",""
1010100,1,"sp",287,-787,999999999,"","",""
1010100,2,"sp",353,-774,999999999,"","",""
1010100,3,"sp",213,-763,999999999,"","",""
1010100,4,"out00",455,-749,1010000,"in00","","only_once"
1010200,0,"sp",315,-760,999999999,"","",""
1010200,1,"sp",287,-787,999999999,"","",""
1010200,2,"sp",353,-774,999999999,"","",""
1010200,3,"sp",213,-763,999999999,"","",""
1010200,4,"out00",455,-749,1010000,"in00","","only_once"
1010300,0,"sp",315,-760,999999999,"","",""
1010300,1,"sp",287,-787,999999999,"","",""
