mapid,seatid,x_pos,y_pos
50001,0,1835,56
50001,1,1902,56
1000005,0,702,204
1000005,1,769,204
1000005,2,237,-569
1000005,3,304,-569
1000005,4,790,-388
1000005,5,857,-388
1010000,0,690,-274
1010000,1,757,-274
100000000,0,4909,-120
100000000,1,4976,-120
100000000,2,5699,453
100000000,3,5722,453
100000000,4,5743,453
100000000,5,5609,453
100000000,6,5632,453
100000000,7,5653,453
100000000,8,5422,453
100000000,9,5445,453
100000000,10,5466,453
100000000,11,5812,-177
100000000,12,5835,-177
100000000,13,5856,-177
100000000,14,5899,-177
100000000,15,5922,-177
100000000,16,5943,-177
100000000,17,4015,123
100000000,18,4038,123
100000000,19,4059,123
100000000,20,3594,123
100000000,21,3617,123
100000000,22,3638,123
100000000,23,220,273
100000000,24,243,273
100000000,25,264,273
100000000,26,2525,333
100000000,27,2548,333
100000000,28,2569,333
100000100,0,3859,-176
100000100,1,3882,-176
100000100,2,3903,-176
100000100,3,3957,-176
100000100,4,3980,-176
100000100,5,4001,-176
100000100,6,3108,-116
100000100,7,3131,-116
100000100,8,3152,-116
100000200,0,721,424
100000200,1,744,424
100000200,2,765,424
100000200,3,1169,423
100000200,4,1192,423
100000200,5,1213,423
100000200,6,3689,694
100000200,7,3712,694
100000200,8,3733,694
100000200,9,2164,574
100000200,10,2187,574
100000200,11,2208,574
100000200,12,2463,574
100000200,13,2486,574
100000200,14,2507,574
100000200,15,3008,573
100000200,16,3031,573
100000200,17,3052,573
100000202,0,966,-117
100000202,1,989,-117
100000202,2,1010,-117
100000202,3,1300,-57
100000202,4,1323,-57
100000202,5,1344,-57
100000202,6,601,-627
100000202,7,624,-627
100000202,8,645,-627
100000202,9,83,153
100000202,10,106,153
100000202,11,127,153
100000202,12,-201,153
100000202,13,-178,153
100000202,14,-157,153
100000202,15,180,153
100000202,16,203,153
100000202,17,224,153
100000203,0,-385,-1677
100000203,1,-362,-1677
100000203,2,-341,-1677
100000203,3,-297,-1677
100000203,4,-274,-1677
100000203,5,-253,-1677
100000203,6,665,-956
100000203,7,688,-956
100000203,8,709,-956
100000203,9,751,-956
100000203,10,774,-956
100000203,11,795,-956
100000203,12,459,-956
100000203,13,482,-956
100000203,14,503,-956
100000203,15,1271,213
100000203,16,1294,213
100000203,17,1315,213
100000203,18,1365,213
100000203,19,1388,213
