mapid,mobid,start_hour,end_hour,"message"
103000105,5090000,22,14,"Shade has appeared from the shadow of the subway. You must light the street lamp on Shade to weaken its power."
103000202,5090000,22,14,"Shade has appeared from the shadow of the subway. You must light the street lamp on Shade to weaken its power."
211010000,6090001,22,14,"The Snow Witch has appeared in the midst of a snowstorm. Offer drop items on the Altar of the Hunter to appease the angry Snow Witch."
211020000,6090001,22,14,"The Snow Witch has appeared in the midst of a snowstorm. Offer drop items on the Altar of the Hunter to appease the angry Snow Witch."
211041100,6090000,0,4,"Riche has appeared."
211041200,6090000,0,4,"Riche has appeared."
211041300,6090000,0,4,"Riche has appeared."
211041400,6090000,0,4,"Riche has appeared."
211050000,6090001,22,14,"The Snow Witch has appeared in the midst of a snowstorm. Offer drop items on the Altar of the Hunter to appease the angry Snow Witch."
222010300,6090003,22,14,"A cry of a ghost is echoing throughout the hills. The Scholar Ghost has appeared. Offer the tail of a Three-Tailed-Fox on the Stone Tower to appease the grieving Scholar Ghost."
250020000,5090001,3,7,"The Master Dummy has begun patrolling the Beginner Training Center. Record your name on the Training Diary to avoid getting scolded by the Master Dummy."
261010102,8090000,3,7,"With the fricatives of rusty machines, Deet and Roi has appeared. Complete the pentacle to weaken Deet and Roi."
261020200,6090004,3,7,"With undecipherable whispers, Rurumo has appeared. Use the poison spray to weaken Rurumo."
261020400,6090004,3,7,"With undecipherable whispers, Rurumo has appeared. Use the poison spray to weaken Rurumo."
261020401,7090000,3,7,"Automated Security System will activate. Operate the control unit to regulate the system. "
261020600,6090004,3,7,"With undecipherable whispers, Rurumo has appeared. Use the poison spray to weaken Rurumo."
