mobid,mob_level,"flags",hp,mp,hp_recovery,mp_recovery,explode_hp,experience,link,summon_type,knockback,fixed_damage,death_buff,death_after,traction,damaged_by_skill_only,damaged_by_mob_only,drop_item_period,hp_bar_color,hp_bar_bg_color,carnival_points,physical_attack,physical_defense,magical_attack,magical_defense,accuracy,avoidability,speed,chase_speed,"ice_modifier","fire_modifier","poison_modifier","lightning_modifier","holy_modifier","nonelemental_modifier"
100100,1,"",8,0,0,0,0,3,0,1,1,0,0,0,10.0,0,0,0,0,0,0,12,0,0,0,20,0,-65,-65,"normal","normal","normal","normal","normal","normal"
100101,2,"",15,15,0,0,0,4,0,1,1,0,0,0,10.0,0,0,0,0,0,0,17,0,0,0,20,0,-50,-50,"normal","normal","normal","normal","normal","normal"
100120,1,"",9,0,0,0,0,4,0,1,1,0,0,0,10.0,0,0,0,0,0,0,17,0,0,0,20,0,-40,-40,"normal","normal","normal","normal","normal","normal"
100121,3,"",25,0,0,0,0,7,0,1,1,0,0,0,10.0,0,0,0,0,0,0,22,0,0,0,30,0,-35,-35,"normal","normal","normal","normal","normal","normal"
100122,5,"",45,0,0,0,0,9,0,1,1,0,0,0,10.0,0,0,0,0,0,0,29,3,0,10,35,0,-35,-35,"normal","normal","normal","normal","normal","normal"
100123,7,"",70,0,0,0,0,16,0,1,1,0,0,0,10.0,0,0,0,0,0,0,37,5,0,20,40,0,-30,-30,"normal","normal","normal","normal","normal","normal"
100124,9,"",100,0,0,0,0,19,0,1,1,0,0,0,10.0,0,0,0,0,0,0,50,10,0,15,40,1,-30,-30,"normal","normal","normal","normal","normal","normal"
100130,1,"",8,0,0,0,0,1,0,1,1,0,0,0,10.0,0,0,0,0,0,0,12,0,0,0,20,0,-50,-50,"normal","normal","normal","normal","normal","normal"
100131,3,"",28,0,0,0,0,6,0,1,1,0,0,0,10.0,0,0,0,0,0,0,21,0,0,0,30,0,-40,-40,"normal","normal","normal","normal","normal","normal"
100132,5,"",43,0,0,0,0,9,0,1,1,0,0,0,10.0,0,0,0,0,0,0,28,3,0,10,35,0,-35,-35,"normal","normal","normal","normal","normal","normal"
100133,7,"",70,0,0,0,0,15,0,1,1,0,0,0,10.0,0,0,0,0,0,0,36,5,0,20,40,0,-30,-30,"normal","normal","normal","normal","normal","normal"
100134,9,"",95,0,0,0,0,18,0,1,1,0,0,0,10.0,0,0,0,0,0,0,48,10,0,15,42,1,-30,-30,"normal","normal","normal","normal","normal","normal"
120100,2,"",20,15,0,0,0,5,0,1,1,0,0,0,10.0,0,0,0,0,0,0,17,0,0,0,30,0,-30,-30,"normal","normal","normal","normal","normal","normal"
130100,4,"",40,30,0,0,0,8,0,1,1,0,0,0,10.0,0,0,0,0,0,0,30,0,0,10,30,0,-70,-70,"normal","weak","normal","normal","normal","normal"
130101,4,"",40,30,0,0,0,8,0,1,1,0,0,0,10.0,0,0,0,0,0,0,27,3,0,10,35,0,-50,-50,"normal","normal","normal","normal","normal","normal"
210100,6,"",50,35,0,0,0,10,0,1,1,0,0,0,10.0,0,0,0,0,0,0,32,5,0,10,35,1,-20,-20,"normal","normal","normal","weak","normal","normal"
