id,mobid,skillid,skill_level,effect_delay
1,9300348,122,6,0
2,9300106,102,1,0
3,9300106,200,62,0
4,9300106,200,63,0
5,9400612,101,15,400
6,8160000,123,1,0
7,8140700,102,1,0
8,8140700,100,1,0
9,9400005,110,1,0
10,9400005,123,1,0
11,9300182,131,5,0
12,9300182,122,5,0
13,9300182,121,8,0
14,9300182,120,3,0
15,9300182,132,2,0
16,9300182,200,95,0
17,9300182,200,96,0
18,9300182,200,97,0
19,9300182,110,6,0
20,9300182,114,22,0
21,9300095,101,2,0
22,9300095,103,2,0
23,9300095,200,1,0
24,9400630,128,1,0
25,9300212,200,131,0
26,8090000,129,10,0
27,8810002,140,9,0
28,8810002,141,8,0
29,8810002,200,53,0
30,8810002,200,54,0
31,8810002,200,55,0
32,8220003,132,2,0
33,8220003,122,3,0
34,8220003,200,89,0
35,8220003,200,90,0
36,8220003,200,91,0
37,9400006,110,1,0
38,9400006,123,1,0
39,9500170,100,4,0
40,9300025,200,46,0
41,9300056,101,2,0
42,9300056,103,2,0
43,9300076,112,4,0
44,9300100,125,1,0
45,9300100,124,1,0
46,9300100,120,1,0
47,9300100,121,1,0
48,6130202,102,1,0
49,9300140,131,6,0
50,9300140,200,74,0
51,9300140,200,75,0
52,9300140,200,76,0
53,9300140,129,2,0
54,9300140,121,5,0
55,9300140,129,3,0
56,9500306,126,7,0
57,9500306,200,78,0
58,9500306,112,1,0
59,9500306,113,1,0
60,9500132,102,2,0
61,3300006,200,165,0
62,8120106,126,9,0
63,9300268,140,4,0
64,9300268,110,1,0
65,9300268,112,4,0
66,9300268,113,2,0
67,9300268,200,83,0
68,8150100,101,2,0
69,8150100,127,3,0
70,9400243,100,1,0
71,9400243,102,1,0
72,8830001,200,159,0
73,8830001,200,160,0
74,8220010,102,7,0
75,8220010,103,5,0
76,8220010,140,17,0
77,8220010,141,14,0
78,5150000,100,1,0
79,5150000,102,1,0
80,9300086,125,1,0
81,9300086,124,1,0
82,9300086,120,1,0
83,9300086,121,1,0
84,7130002,126,2,0
85,9300289,128,12,0
86,9300289,102,3,0
87,9300293,132,2,0
88,9300293,122,3,0
89,9300293,200,89,0
90,9300293,200,90,0
91,9300293,200,91,0
92,9300371,100,16,0
93,9300371,132,4,0
94,8810021,114,11,0
95,4240000,200,27,0
96,9500351,200,49,0
97,9500351,200,50,0
98,9500351,200,51,0
99,9500351,126,5,0
100,9500351,120,9,0
101,9500351,121,5,0
102,4300013,200,173,0
103,4300013,145,5,0
104,4300013,114,33,0
105,9420547,140,15,0
106,9420547,141,12,0
107,9420547,200,139,0
108,9300105,102,1,0
109,9300105,200,62,0
110,9300105,200,63,0
111,9300287,200,77,0
112,9300287,123,8,0
113,9300287,131,7,0
114,9420540,114,26,0
115,9300199,114,15,0
116,9300199,200,118,0
117,9300199,121,7,0
118,9300199,122,10,0
119,9300199,123,7,0
120,9300163,103,2,0
121,9501010,141,11,0
122,6090000,129,1,1000
123,6090000,114,12,1000
124,7220003,132,7,0
125,9303016,132,2,0
126,8820017,143,1,0
127,8820017,144,1,0
128,8820017,145,2,0
129,8820017,120,8,0
130,8820017,122,6,0
131,5120505,103,1,0
132,7220005,135,2,0
133,9300188,200,107,0
134,8810003,140,9,0
135,8810003,141,8,0
136,8810003,200,53,0
137,8810003,200,54,0
138,8810003,200,55,0
139,8810003,127,7,0
140,8810003,127,10,0
141,5220000,123,8,0
142,5220000,200,82,0
143,5220000,110,1,0
144,5220000,112,1,0
145,5220000,113,1,0
146,5220000,114,15,0
147,9300236,101,2,0
148,9300236,103,2,0
149,5220003,114,17,0
150,5220003,110,1,0
151,5220003,112,1,0
152,5220003,113,1,0
153,5220003,123,1,0
154,5220003,140,12,0
155,5220003,141,3,0
156,9500309,123,8,0
157,9500309,200,82,0
158,9500309,110,1,0
159,9500309,112,1,0
160,9500309,113,1,0
161,9500309,114,15,0
162,3230300,120,1,0
163,3230300,124,1,0
164,9300351,132,2,0
165,7220002,114,15,0
166,7220002,110,1,0
167,7220002,112,1,0
168,7220002,113,1,0
169,7220002,140,4,0
170,9300054,101,1,0
171,9300054,103,1,0
172,8820016,132,2,0
173,8820016,127,7,0
174,8820016,127,10,0
175,9001012,100,1,0
176,8150201,100,3,0
177,9001013,127,6,480
178,4230106,103,1,0
179,8820018,129,2,0
180,8820018,128,8,0
181,8820018,128,9,0
182,8820018,128,10,0
183,8820018,122,6,0
184,8830003,200,161,0
185,5120000,101,2,0
186,9500119,100,1,0
187,9420542,140,15,0
188,9420542,141,12,0
189,9420542,200,138,0
190,3300008,200,164,0
191,7120101,100,21,0
192,7120101,101,17,0
193,9001009,114,15,0
194,9001009,120,12,0
195,9001009,127,11,0
196,9001009,133,1,0
197,5100002,100,1,0
198,3000002,111,1,0
199,3000002,120,1,0
200,8140600,140,3,0
201,8140600,141,3,0
202,9300036,141,5,0
203,9300194,114,17,0
204,9300194,110,2,0
205,9300194,112,4,0
206,9300194,113,2,0
207,9300194,200,113,0
208,9500168,100,4,0
209,9400654,133,1,0
210,9500172,100,4,0
211,9400321,120,2,900
212,9400321,114,16,900
213,9500175,100,4,0
214,5130101,100,1,0
215,5130101,102,1,0
216,9501009,140,12,0
217,8120100,100,22,0
218,8120100,101,18,0
219,9300151,125,8,0
220,9300151,200,74,0
221,9300151,200,75,0
222,9300151,200,76,0
223,9300151,129,2,0
224,9300151,121,5,0
225,9300185,112,1,1500
226,9300185,114,15,1500
227,9300185,112,1,0
228,9300185,113,1,0
229,9300185,200,104,0
230,9400645,123,16,100
231,9500344,114,17,0
232,9500344,110,1,0
233,9500344,112,1,0
234,9500344,113,1,0
235,9500344,123,1,0
236,9500344,140,12,0
237,9500344,141,3,0
238,9300068,100,3,0
239,3220000,112,1,1500
240,3220000,114,15,1500
241,3220000,112,1,0
242,3220000,113,1,0
243,5220002,114,18,0
244,5220002,110,1,0
245,5220002,112,1,0
246,5220002,113,1,0
247,5220002,200,84,0
248,5220002,140,12,0
249,9400643,121,11,0
250,9400643,127,14,0
251,9400643,200,172,0
252,9500128,100,2,0
253,9500128,102,2,0
254,8800001,140,1,176
255,8800001,141,1,176
256,8800001,114,2,0
257,8800001,200,32,0
258,8800001,200,33,0
259,8800001,200,34,0
260,8800001,200,35,0
261,9400211,100,2,0
262,9400211,102,2,0
263,9400593,156,1,1600
264,9400608,200,93,0
265,9400608,200,98,0
266,9400608,200,99,0
267,9300107,102,1,0
268,9300107,200,62,0
269,9300107,200,63,0
270,9001002,100,1,0
271,9001002,102,1,0
272,9001002,122,2,0
273,9001002,200,3,0
274,9500361,132,2,0
275,9500361,122,3,0
276,9500361,200,89,0
277,9500361,200,90,0
278,9500361,200,91,0
279,9400212,100,1,0
280,9400212,102,1,0
281,4230103,100,1,0
282,9300258,100,1,0
283,9300258,102,1,0
284,8220000,200,80,0
285,8220000,101,1,720
286,8220000,111,2,720
287,8220000,121,7,720
288,9300031,127,5,1400
289,8220005,114,23,0
290,8220005,145,1,0
291,9500314,114,15,0
292,9500314,110,1,0
293,9500314,112,1,0
294,9500314,113,1,0
295,9500314,140,4,0
296,9300290,114,23,0
297,9300290,145,1,0
298,6400000,100,2,0
299,6400000,102,2,0
300,8120105,126,9,0
301,9500341,114,18,0
302,9500341,110,1,0
303,9500341,112,1,0
304,9500341,113,1,0
