question_set,questionid,"question","display","answer"
1,1,"The weakest monster in MapleStory is the BLUE SNAIL.","The weakest monster is the GREEN SNAIL. (LV. 1)","x"
1,2,"The most powerful monster in MapleStory is the JR. BALROG.","Currently the most powerful monster is the CRIMSON BALROG.","x"
1,3,"RED SNAILS can only be found at the Maple Island, where the beginners play.","There's quite a lot of them at Victoria Island, too.","x"
1,4,"You'll occasionaly obtain [Pig Tail] after defeating the PIG.","You'll occasionally obtain [Pig Head].","x"
1,5,"You'll obtain [Blue Ribbon] by defeating the RIBBONED PIG.","You'll obtain [Red Ribbon].","x"
1,6,"The weakest among the mushrooms is the ORANGE MUSHROOM.","The weakest among the mushrooms is the SPORE. (LV. 2)","x"
1,7,"You'll obtain [Lupin's Doll] by defeating the cute monkey monster called LUPIN.","You'll obtain Lupin's Doll, banana, and others.","o"
1,8,"DRAKE is a monster that lives deep in the Dungeon. You'll occasionally obtain [Drake's Toenail] by defeating it.","You'll obtain [Drake's Skin].","x"
1,9,"When you defeat the PIG, WILD BOAR, or the HORNED MUSHROOM, you'll obtain [leather].","HORNED MUSHROOM does not provide [leather].","x"
1,10,"The slimes you'll see often at the beginner's map or around Ellinia are the BLUE SLIMES.","At the beginner's map, you'll see the GREEN SLIMES.","x"
1,11,"The GREEN MUSHROOM that you'll see often around the field, forrest, or the construction site has a grey horn on its cap.","GREEN MUSHROOMS do not have horns.","x"
1,12,"The WILD CARGO that lives deep in the Dungeon is very adept at attacking both up-close and long-range.","WILD CARGO only attacks up-close.","x"
1,13,"EVIL EYE, CURSE EYE, and COLD EYE all look similar, but only EVIL EYE has two eyes.","They all have one eye.","x"
1,14,"The LIGATORS that live around the swamps look a lot like spiders.","They resemble alligators.","x"
1,15,"The WILD CARGO that live deep in the Dungeon is the mutant version of a cat with a single horn at the center of its head.","WILD CARGO has 2 huge horns.","x"
1,16,"The JR. BALROG that lives in the cursed altar is a LV. 80 monster.","JR. BALROG is a LV. 80 monster.","o"
1,17,"The fastest monster in MapleStory is the STONE GOLLEM.","STONE GOLLEM and DARK STONE GOLLEM is considered the slowest monsters in the game.","x"
1,18,"The nasty ZOMBIE LUPIN's are made of black magic and the cursed doll through Grendel the Really Old. ","It's a monster made out of Grendel the Really Old's black magic.","o"
1,19,"MUSHMOM, a humongous mushroom monster, is basically a giant version of the ORANGE MUSHROOM.","MUSHMOM is a giant version of the ORANGE MUSHROOM.","o"
1,20,"BUBBLINGS that reside in subways attack by firing bubbles from long range.","BUBBLINGS only attack up-close.","x"
1,21,"STIRGE, a flying monster, usually flies around for a long time, and then takes a break by hanging on the ceiling.","They never stop flying.","x"
1,22,"You'll obtain [Jr. Necki's Skin] by defeating the JR. NECKI, and when eaten, you'll recover some of your MP.","[Jr. Necki's Skin] is not edible.","x"
1,23,"JR. WRAITH, a monster that resembles ghost, occasionally offers a [Blue Tablecloth].","They only offer [White Tablecloth].","x"
1,24,"LORANG, a crab-resembling monster around Florina Beach, occasionally attacks while jumping.","They do resemble crabs, but they do attack while jumping, too.","o"
1,25,"LORANG, a crab-resembling monster, digs the sand and hides in there if they are near death.","They'll fight til they die. (Bravo...)","x"
1,26,"UMTI, the monster that resembles a sea turtle, usually attacks long-range with force.","UMTI's attack long-range.","o"
1,27,"[Iron Hog's Metal Hoof] is obtainable through IRON HOG, a metal armor-dressed monster that resembles a horse.","IRON HOG is a pig.","x"
1,28,"[Medicine with Weird Vibes], an item given by Wraith, will make you really feel weird if consumed.","[Medicine with Weird Vibes] cannot be consumed.","x"
1,29,"MALADY, a monster that flies around with the broom, fires away laser beams from far out.","MALADY only attacks up-close.","x"
1,100,"RED DRAKE is the only Drake that attacks long-range.","RED DRAKE attacks long-range with force.","o"
1,101,"CROKO, which lives around swamps, is higher leveled than COPPER DRAKE.","CROKO is LV. 52, and COPPER DRAKE is LV. 45.","o"
1,102,"COPPER DRAKE can be found near Perion, and is known for attacking from long-range.","It only attacks from up-close.","x"
1,103,"Every monster from El Nath is weak against fire-based attacks.","DARK YETI and DARK PEPE are weak against religious attacks.","x"
1,104,"JR. YETI and the Transforming JR. YETI have the same level and HP.","They are both LV. 50 with HP 3700.","o"
1,105,"CRIMSON BALROG, LV 100, does not get poisoned from posion-based attacks.","It cancels out poison-based attacks, but is vulnerable against religious attacks.","o"
1,106,"MALADY, the monster flying around in broom, is an undead monster.","It's weak against religious attacks, but is NOT an undead monster.","x"
1,107,"The monsters that offer [Stiff Feather] are HECTOR, DARK YETI, and LYCANTHROPE.","HECTOR, DARK YETI, and LYCANTHROPE offer [Stiff Feather].","x"
1,108,"The monsters that offer [Soft Feather] are YETI, JR. YETI, WHITE FANG, LYCANTHROPE, AND LUPIN.","LUPIN offers [Stiff Feather].","x"
1,109,"AXE STUMP is a monster borne of rage towards a lumberjack that forgot to take off the axe from the tree.","There's a legend where AXE STUMP is a monster borne of rage towards a lumberjack that forgot to take off the axe from the tree.","o"
1,110,"WEREWOLF summons its other self to attack.","WEREWOLF does not have its other self.","x"
1,111,"NEPENDEATH and DARK NEPENDEATH are the only monsters that do not move around.","NEPENDEATH does not move around and attack.","o"
2,1,"You'll need 15 tree branches to make 1 Processed Wood. ","10 tree branches is enough.","x"
2,2,"You'll make a set of screws, 15 screws in total, with a Bronze Plate and a Steel Plate.","Screws are useful for making or upgrading items.","o"
2,3,"Fusion Mace, a one-handed blunt weapon, is only available to Warriors and Magicians.","It's only available to Warriors and Magicians.","o"
2,4,"Mace, a one-handed blunt weapon, is only available to Warriors and Magicians.","Mace is only available to Warriors and Magicians.","o"
2,5,"Long Sword, a one-handed sword, is available to everyone BUT the beginners.","Beginners can use it, too.","x"
2,6,"Balanche, a weapon for Bowman sold at Henesys, has an item option of STR + 2 attached to it.","Balanche has an item option of STR + 1 attached to it.","x"
2,7,"The One-side Only Earring is available through stores, but NOT the Amethyst Earring.","Amethyst Earring can be purchased at the Henesys Department Store.","x"
2,8,"The Blue Whitebottom Shoes that can be worn from LV. 26 on, is available to everyone, including the beginners.","It is available to everyone.","o"
2,9,"The Armor Scroll consists of two types - the one for DEF, and the one for HP.","You can check through the Perion Department Store.","o"
2,10,"When purchasing a 100% scroll at the store, the scroll for two-handed weapon is more expensive than the one for one-handed weapon.","The price for the scrolls for both the two-handed or one-handed weapon are the same.","x"
2,11,"The weapon store at Ellinia only sells scrolls for Staff and Wand.","The scrolls for earrings are also available.","x"
2,12,"The weapon store at Lith Harbor is the only place without the Subi Throwing-Star.","The Subi Throwing-Star is also available at Lith Harbor.","x"
2,13,"The Stolen Fence is only available at Lith Harbor.","The Square Wooden Shield is available at Lith Harbor.","o"
2,14,"The item options for the White & Black Korean Rubber Shoes are diferent.","The colors are different, but the options are the same.","x"
2,15,"If you use the 100% Scroll for Claw for ATT, then the ATT will be +1, as will be the accuracy.","Only the ATT goes up by 1. The accuracy stays the same.","x"
