class,player_level,defense
0,1,7
0,5,17
0,8,19
1,10,54
1,12,57
1,15,83
1,20,106
1,22,109
1,25,129
1,30,154
1,35,179
1,40,203
1,47,208
1,50,261
1,55,267
1,60,305
1,65,308
1,70,359
1,75,356
1,80,382
1,85,388
1,90,440
1,95,446
1,100,494
2,8,25
2,10,31
2,13,40
2,15,49
2,18,54
2,20,56
2,25,60
2,28,64
2,30,75
2,33,91
2,35,98
2,40,99
2,48,107
2,50,131
2,55,134
2,58,142
2,60,159
2,65,162
2,68,170
2,70,184
2,75,190
2,78,198
2,80,212
2,85,218
2,88,226
2,90,240
2,95,246
2,98,254
2,100,266
3,10,32
3,15,49
3,20,65
3,25,80
3,30,95
3,35,110
3,40,125
3,50,145
3,55,148
3,60,177
3,65,180
3,70,206
3,75,212
3,80,238
3,85,244
3,90,270
3,95,276
3,100,298
4,10,42
4,15,60
4,20,76
4,22,85
4,25,100
4,30,115
4,32,116
4,35,131
4,37,132
4,40,147
4,50,184
4,55,187
4,60,220
4,65,223
4,70,257
4,75,263
4,80,291
4,85,297
4,90,325
4,95,331
4,100,331
5,10,24
5,15,43
5,20,56
5,25,69
5,30,82
5,35,95
5,40,108
5,50,146
5,55,149
5,60,178
5,65,181
5,70,207
5,75,213
5,80,239
5,85,245
5,90,271
5,100,309
