questid,valid_jobid
1000,0
1001,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1206,0
1206,100
1206,110
1206,111
1206,112
1206,120
1206,121
1206,122
1206,130
1206,131
1206,132
1206,200
1206,210
1206,211
1206,212
1206,220
1206,221
1206,222
1206,230
1206,231
1206,232
1206,300
1206,310
1206,311
1206,312
1206,320
1206,321
1206,322
1206,400
1206,410
1206,411
1206,412
1206,420
1206,421
1206,422
1206,500
1206,510
1206,511
1206,512
1206,520
1206,521
1206,522
2010,100
2010,110
2010,111
2010,112
2010,120
2010,121
2010,122
2010,130
2010,131
2010,132
2010,200
2010,210
2010,211
2010,212
2010,220
2010,221
2010,222
2010,230
2010,231
2010,232
2010,300
2010,310
2010,311
2010,312
2010,320
2010,321
2010,322
2010,400
2010,410
2010,411
2010,412
2010,420
2010,421
2010,422
2010,500
2010,510
2010,511
2010,512
2010,520
2010,521
2010,522
2010,1100
2010,1110
2010,1111
2010,1112
2010,1200
2010,1210
2010,1211
2010,1212
2010,1300
2010,1310
2010,1311
2010,1312
2010,1400
2010,1410
2010,1411
2010,1412
2010,1500
2010,1510
2010,1511
2010,1512
2010,2100
2010,2110
2010,2111
2010,2112
2017,100
2017,110
2017,111
2017,112
2017,120
2017,121
2017,122
2017,130
2017,131
2017,132
2017,200
2017,210
2017,211
2017,212
2017,220
2017,221
2017,222
2017,230
2017,231
2017,232
2017,300
2017,310
2017,311
2017,312
2017,320
2017,321
2017,322
2017,400
2017,410
2017,411
2017,412
2017,420
2017,421
2017,422
2017,500
2017,510
2017,511
2017,512
2017,520
2017,521
2017,522
2017,1100
2017,1110
2017,1111
2017,1112
2017,1200
2017,1210
2017,1211
2017,1212
2017,1300
2017,1310
2017,1311
2017,1312
2017,1400
2017,1410
2017,1411
2017,1412
2017,1500
2017,1510
2017,1511
2017,1512
2017,2100
2017,2110
2017,2111
2017,2112
2018,100
2018,110
2018,111
2018,112
2018,120
2018,121
2018,122
2018,130
2018,131
2018,132
2018,200
2018,210
2018,211
2018,212
2018,220
2018,221
2018,222
2018,230
2018,231
2018,232
2018,300
2018,310
2018,311
2018,312
2018,320
2018,321
2018,322
2018,400
2018,410
2018,411
2018,412
2018,420
2018,421
2018,422
2018,500
2018,510
2018,511
2018,512
2018,520
2018,521
2018,522
2018,1100
2018,1110
2018,1111
2018,1112
2018,1200
2018,1210
2018,1211
2018,1212
2018,1300
2018,1310
2018,1311
2018,1312
2018,1400
2018,1410
2018,1411
2018,1412
2018,1500
2018,1510
2018,1511
2018,1512
2018,2100
2018,2110
2018,2111
2018,2112
2019,100
2019,110
2019,111
2019,112
2019,120
2019,121
2019,122
2019,130
2019,131
2019,132
2019,200
2019,210
2019,211
2019,212
2019,220
2019,221
2019,222
2019,230
2019,231
2019,232
2019,300
2019,310
2019,311
2019,312
2019,320
2019,321
2019,322
2019,400
2019,410
2019,411
2019,412
2019,420
2019,421
