id,questid,"quest_state","reward_type",rewardid,quantity,master_level,"gender","job_tracks",job,prop,"flags"
1,10000,"end","item",1072366,1,0,"both","beginner,warrior,magician,bowman,thief,pirate",-1,0,""
2,10005,"end","exp",10000,0,0,"both","",-1,0,""
3,10005,"end","item",4031701,-5,0,"both","",-1,0,""
4,10005,"end","item",1302071,1,0,"both","warrior",-1,-1,""
5,10005,"end","item",1312034,1,0,"both","warrior",-1,-1,""
6,10005,"end","item",1322056,1,0,"both","warrior",-1,-1,""
7,10005,"end","item",1332059,1,0,"both","thief",-1,-1,""
8,10005,"end","item",1382042,1,0,"both","magician",-1,-1,""
9,10005,"end","item",1402041,1,0,"both","warrior",-1,-1,""
10,10005,"end","item",1412029,1,0,"both","warrior",-1,-1,""
11,10005,"end","item",1422033,1,0,"both","warrior",-1,-1,""
12,10005,"end","item",1432042,1,0,"both","warrior",-1,-1,""
13,10005,"end","item",1442053,1,0,"both","warrior",-1,-1,""
14,10005,"end","item",1452048,1,0,"both","bowman",-1,-1,""
15,10005,"end","item",1462043,1,0,"both","bowman",-1,-1,""
16,10005,"end","item",1472058,1,0,"both","thief",-1,-1,""
17,10005,"end","item",1482025,1,0,"both","pirate",-1,-1,""
18,10005,"end","item",1492026,1,0,"both","pirate",-1,-1,""
19,10007,"end","exp",1000,0,0,"both","",-1,0,""
20,1001,"start","item",4031003,1,0,"both","",-1,0,""
21,1001,"end","exp",1,0,0,"both","",-1,0,""
22,1001,"end","item",4031003,-1,0,"both","",-1,0,""
23,10015,"end","item",2022336,1,0,"both","",-1,0,""
24,10016,"end","item",2022336,1,0,"both","",-1,0,""
25,10017,"end","item",2022336,1,0,"both","",-1,0,""
26,10018,"end","item",2022336,1,0,"both","",-1,0,""
27,10019,"end","item",2022336,1,0,"both","",-1,0,""
28,10020,"end","item",2022336,1,0,"both","beginner,warrior,magician,bowman,thief,pirate",-1,0,""
29,10021,"end","item",1072368,1,0,"both","",-1,0,""
30,10023,"end","item",1072366,1,0,"both","",-1,0,""
31,10030,"end","mesos",100000,0,0,"both","",-1,0,""
32,10030,"end","item",4000016,-100,0,"both","",-1,0,""
33,10030,"end","item",4000004,-50,0,"both","",-1,0,""
34,10031,"end","mesos",200000,0,0,"both","",-1,0,""
35,10031,"end","item",4000024,-80,0,"both","",-1,0,""
36,10031,"end","item",4000020,-100,0,"both","",-1,0,""
37,10032,"end","mesos",100000,0,0,"both","",-1,0,""
38,10032,"end","item",4000016,-100,0,"both","",-1,0,""
39,10032,"end","item",4000004,-50,0,"both","",-1,0,""
40,10033,"end","mesos",200000,0,0,"both","",-1,0,""
41,10033,"end","item",4000024,-80,0,"both","",-1,0,""
42,10033,"end","item",4000020,-100,0,"both","",-1,0,""
43,10035,"end","item",2022004,20,0,"both","",-1,0,""
44,10035,"end","item",2022005,20,0,"both","",-1,0,""
45,1004,"end","exp",3,0,0,"both","",-1,0,""
46,1005,"end","item",4031000,-1,0,"both","",-1,0,""
47,1005,"start","item",4031000,1,0,"both","",-1,0,""
48,10051,"start","buff",2022239,0,0,"both","",-1,0,""
49,10052,"end","exp",20000,0,0,"both","",-1,0,""
50,10052,"end","fame",2,0,0,"both","",-1,0,""
51,10052,"end","item",1002517,1,0,"both","",-1,0,""
52,10053,"end","item",4001203,1,0,"both","",-1,0,""
53,10054,"end","item",4001204,1,0,"both","",-1,0,""
54,10054,"end","item",2012000,-1,0,"both","",-1,0,""
55,10055,"end","item",4001205,1,0,"both","",-1,0,""
56,10055,"end","item",2120008,-1,0,"both","",-1,0,""
57,10056,"end","exp",20000,0,0,"both","",-1,0,""
58,10056,"end","item",1122015,1,0,"both","",-1,0,""
59,10056,"end","item",2022422,-100,0,"both","",-1,0,""
60,1006,"end","exp",10,0,0,"both","",-1,0,""
61,1006,"end","item",4031001,-1,0,"both","",-1,0,""
62,1006,"end","item",1002008,1,0,"both","",-1,1,""
63,1006,"end","item",1002053,1,0,"both","",-1,1,""
64,1006,"end","item",1002014,1,0,"both","",-1,1,""
65,1006,"end","item",1002066,1,0,"both","",-1,1,""
66,1006,"end","item",1002067,1,0,"both","",-1,1,""
67,1006,"end","item",1002068,1,0,"both","",-1,1,""
68,1006,"end","item",1002069,1,0,"both","",-1,1,""
69,1006,"start","item",4031001,1,0,"both","",-1,0,""
70,10060,"end","item",2210021,5,0,"both","",-1,0,""
71,10062,"end","exp",50,0,0,"both","",-1,0,""
72,10063,"end","exp",50,0,0,"both","",-1,0,""
