reactorid,max_states,link,"flags"
2000,5,0,""
2001,5,0,""
1002000,6,0,""
1002001,0,2000,""
1002002,10,0,""
1002003,10,0,""
1002006,5,0,""
1006000,2,0,""
1008000,6,0,""
1008001,6,0,""
1008002,6,0,""
1008003,6,0,""
1009000,5,0,""
1012000,5,0,""
1020000,5,0,""
1020001,0,1020000,""
1020002,0,1020000,""
1020003,0,1020000,""
1020004,0,1020000,""
1020005,0,1020000,""
1020006,0,1020000,""
1020007,0,1020000,""
1020008,0,1020000,""
1021000,0,1020000,""
1021001,0,1020000,""
1022000,5,0,""
1022001,5,0,""
1022002,5,0,""
1029000,5,0,""
1032000,5,0,""
1050000,5,0,""
1052000,0,1050000,""
1052001,4,0,""
1052002,4,0,""
1052003,4,0,""
1058000,2,0,""
1058001,6,0,""
1058002,3,0,""
1058003,6,0,""
1058004,6,0,""
1058005,3,0,""
1058011,6,0,""
1058012,3,0,""
1058013,6,0,""
1058014,6,0,""
1058015,3,0,""
1072000,4,0,""
1102000,5,0,""
1102001,4,0,""
1102002,4,0,""
1102003,0,2000,""
1200000,2,0,""
1202000,5,0,""
1202002,5,0,""
1202003,6,0,""
1202004,5,0,""
1209000,2,0,""
1302000,5,0,""
1402000,5,0,""
2001000,2,0,""
2001001,2,0,""
2001002,2,0,""
2001003,0,2001002,""
2001004,0,2001002,""
2001005,0,2001002,""
2001006,0,2001002,""
2001007,0,2001002,""
2001008,0,2001002,""
2001009,0,2001002,""
2001010,0,2001002,""
2001011,0,2001002,""
2001012,0,2001002,""
2001013,0,2001002,""
2001014,0,2001002,""
2001015,0,2001002,""
2001016,2,0,""
2002000,5,0,""
2002001,5,0,""
2002002,5,0,""
2002003,6,0,""
2002004,0,2000,""
2002005,0,2000,""
2002006,0,2000,""
2002007,0,2000,""
2002008,0,2000,""
2002009,0,2000,""
2002010,0,2000,""
2002011,6,0,""
2002012,0,2002011,""
2002013,0,2002011,""
2002014,0,2000,""
2002015,0,2002002,""
2002016,0,2000,""
2002017,0,2000,""
2002018,6,0,""
2006000,22,0,""
2006001,8,0,""
2008000,2,0,""
2008001,2,0,""
2008002,2,0,""
2008003,2,0,""
2008004,2,0,""
2008005,2,0,""
2008006,8,0,""
2008007,2,0,""
2008008,1,0,""
2092000,2,0,""
2092001,5,0,""
2092002,2,0,""
2092003,3,0,""
2092004,2,0,""
2098000,12,0,""
2098001,2,0,""
2099000,2,0,""
2110000,0,2112000,""
2111000,0,2112000,""
2111001,2,0,""
2112000,5,0,""
2112001,0,2112000,""
2112002,0,2112000,""
2112003,0,2112000,""
2112004,0,2112000,""
2112005,0,2112000,""
2112006,0,2112000,""
2112007,5,0,""
2112008,0,2112007,""
2112009,0,2112007,""
2112010,0,2112007,""
2112011,0,2112007,""
2112012,0,2112007,""
2112013,0,2112007,""
2112014,2,0,""
2112015,2,0,""
2112016,5,0,""
2112017,5,0,""
2118000,0,2112000,""
2118001,0,2112007,""
2118002,2,0,""
2119000,6,0,""
2119001,0,2119000,""
2119002,0,2119000,""
2119003,0,2119000,""
2119004,2,0,""
2119005,0,2119004,""
2119006,0,2119004,""
2200000,2,0,""
2200001,0,2202002,""
2200002,0,2202002,""
2201000,0,2202002,""
2201001,0,2202002,""
2201002,2,0,""
2201003,2,0,""
2201004,2,0,""
2202000,3,0,""
2202001,5,0,""
2202002,5,0,""
2202003,0,2202002,""
2202004,0,2202002,""
2208000,0,2202001,""
2208001,2,0,""
2208002,2,0,""
2208003,2,0,""
2208004,2,0,""
2212000,5,0,""
2212001,0,2212000,""
2212002,0,2212000,""
2212003,0,2212000,""
2212004,5,0,""
2212005,5,0,""
2221000,2,0,""
2221001,2,0,""
2221002,2,0,""
2221003,2,0,""
2221004,2,0,""
2222000,5,0,""
2222001,5,0,""
2222002,3,0,""
2229009,2,0,""
2292001,17,0,""
2292002,17,0,""
2292003,9,0,""
2292004,17,0,""
2292005,9,0,""
2292006,17,0,""
2298001,7,0,""
2298002,5,0,""
2302000,5,0,""
2302001,6,0,""
2302002,5,0,""
2302003,3,0,""
2302005,0,2302000,"remove_in_field_set"
2308000,2,0,""
2309000,2,0,""
2401000,7,0,""
2401001,5,0,""
2401002,5,0,""
2402000,5,0,""
2402001,5,0,""
2402002,2,0,""
2402003,2,0,""
2402004,2,0,""
2402005,2,0,""
2402006,0,2002002,""
2402007,5,0,""
2402008,5,0,""
2406000,3,0,""
2408000,2,0,""
2408001,4,0,""
2408002,2,0,""
2408003,0,9201000,""
2408004,2,0,""
2502000,5,0,""
2502001,5,0,""
2502002,3,0,""
2508000,2,0,""
2511000,5,0,""
2511001,0,2511000,""
2512000,0,2511000,""
2512001,3,0,""
2516000,2,0,""
2518000,2,0,""
2519000,2,0,""
2519001,2,0,""
2519002,0,2519000,""
2519003,0,2519001,""
2602000,0,2002000,""
2612000,8,0,""
2612001,5,0,""
2612002,0,2612001,""
2612003,0,2612001,""
2612004,3,0,""
2612005,6,0,""
2612006,7,0,""
2612007,7,0,""
2618000,8,0,""
2618001,2,0,""
2618002,2,0,""
2618003,2,0,""
2618004,2,0,""
2618005,2,0,""
2618006,4,0,""
2618007,2,0,""
2619000,3,0,""
2619001,2,0,""
2619002,2,0,""
2619003,6,0,""
2619004,0,2619003,""
2619005,0,2619003,""
2708000,2,0,""
2709000,11,0,""
3001000,2,0,""
3002000,2,0,""
3002001,5,0,""
3002002,5,0,""
3008000,4,0,""
3009000,5,0,""
5411000,2,0,""
5511000,2,0,""
5511001,2,0,""
6102001,5,0,""
6102002,6,0,""
6102003,6,0,""
6102004,6,0,""
6102005,6,0,""
6108000,3,0,""
6108001,3,0,""
6108003,5,0,""
6108004,2,0,""
6108005,3,0,""
6109000,2,0,""
6109001,2,0,""
6109002,2,0,""
6109003,2,0,""
6109004,2,0,""
6109005,2,0,""
6109006,2,0,""
6109007,2,0,""
6109008,2,0,""
6109009,2,0,""
6109010,12,0,""
6109011,3,0,""
6109013,2,0,"activate_by_touch"
6109014,2,0,"activate_by_touch"
6109016,3,0,""
6109017,3,0,""
6109018,3,0,""
6109019,3,0,""
6109020,3,0,""
6109021,2,0,"activate_by_touch"
6109022,2,0,"activate_by_touch"
6109023,2,0,"activate_by_touch"
6109024,2,0,"activate_by_touch"
6109025,2,0,"activate_by_touch"
6109026,2,0,"activate_by_touch"
6109027,2,0,"activate_by_touch"
6701000,5,0,""
6701001,5,0,""
6701002,5,0,""
6702000,2,0,""
6702001,5,0,""
6702002,5,0,""
6702003,5,0,""
6702004,5,0,""
6702005,5,0,""
6702006,5,0,""
6702007,5,0,""
6702008,5,0,""
6702009,5,0,""
6702010,5,0,""
6702011,5,0,""
6702012,5,0,""
6741001,0,2112007,""
6741015,0,2112007,""
6741016,0,2112007,""
6742014,6,0,""
6802000,5,0,""
6802001,5,0,""
6822000,5,0,""
6829000,7,0,""
8001000,2,0,""
8091000,0,2202002,""
8091001,0,2202002,""
8091002,0,2202002,""
8091003,0,2202002,""
8091004,0,2202002,""
8098000,0,2202002,""
8892000,2,0,""
8892001,2,0,""
8892002,2,0,""
8892003,2,0,""
8892004,2,0,""
8892005,2,0,""
8898000,2,0,""
9000000,0,2202002,""
9000001,0,2202002,""
9000002,0,2202002,""
9001000,0,2202002,""
9002000,0,2202002,""
9002001,0,2202002,""
9002002,0,2202002,""
9101000,7,0,""
9102000,5,0,""
9102001,0,9102000,""
9102002,5,0,"remove_in_field_set"
9102003,0,9102002,"remove_in_field_set"
9102004,0,9102002,"remove_in_field_set"
9102005,0,9102002,"remove_in_field_set"
9102006,0,9102002,"remove_in_field_set"
9102007,0,9102002,"remove_in_field_set"
9102008,6,0,""
9108000,2,0,""
9108001,2,0,""
9108002,2,0,""
9108003,2,0,""
9108004,2,0,""
9108005,2,0,""
9108006,6,0,""
