"script_type",helper,objectid,"script"
"npc",0,2003,"begin5"
"npc",0,2007,"tutorialSkip"
"npc",0,10200,"infoArcher"
"npc",0,10201,"infoMagician"
"npc",0,10202,"infoSwordman"
"npc",0,10203,"infoRogue"
"npc",0,10204,"infoPirate"
"npc",0,12101,"rein"
"npc",0,22000,"begin7"
"npc",0,1002000,"rithTeleport"
"npc",0,1002002,"florina2"
"npc",0,1002003,"friend00"
"npc",0,1002004,"mTaxi"
"npc",0,1002006,"bookPrize"
"npc",0,1002007,"taxi6"
"npc",0,1002100,"jane"
"npc",0,1002103,"leaderAl"
"npc",0,1012000,"taxi2"
"npc",0,1012002,"refine_henesys"
"npc",0,1012005,"petmaster"
"npc",0,1012006,"pet_lifeitem"
"npc",0,1012007,"pet_letter"
"npc",0,1012008,"minigame00"
"npc",0,1012100,"bowman"
"npc",0,1012103,"hair_henesys1"
"npc",0,1012104,"hair_henesys2"
"npc",0,1012105,"skin_henesys1"
"npc",0,1012112,"moonrabbit"
"npc",0,1012113,"moonrabbit_bonus"
"npc",0,1012114,"moonrabbit_tiger"
"npc",0,1012115,"blackShadowHene1"
"npc",0,1012116,"blackShadowHene2"
"npc",0,1012117,"hair_royal"
"npc",0,1012119,"enter_archer"
"npc",0,1022000,"fighter"
"npc",0,1022001,"taxi1"
"npc",0,1022002,"Manji"
"npc",0,1022003,"refine_perion"
"npc",0,1022004,"refine_perion2"
"npc",0,1022101,"go_xmas"
"npc",0,1022103,"s4strike_statue"
"npc",0,1022105,"enter_warrior"
"npc",0,1032000,"taxi4"
"npc",0,1032001,"magician"
"npc",0,1032002,"refine_ellinia"
"npc",0,1032003,"herb_in"
"npc",0,1032004,"herb_out"
"npc",0,1032005,"mTaxi"
"npc",0,1032007,"sell_ticket"
"npc",0,1032008,"get_ticket"
"npc",0,1032009,"goOutWaitingRoom"
"npc",0,1032100,"owen"
"npc",0,1032102,"pet_life"
"npc",0,1032109,"blackShadowEli1"
"npc",0,1032110,"blackShadowEli2"
"npc",0,1032111,"giveSap"
"npc",0,1032114,"enter_magicion"
"npc",0,1040000,"summonMobInLuke"
"npc",0,1040001,"mike"
"npc",0,1043000,"bush1"
"npc",0,1043001,"bush2"
"npc",0,1052001,"rogue"
"npc",0,1052002,"refine_kerning"
"npc",0,1052003,"refine_kerning2"
"npc",0,1052004,"face_henesys1"
"npc",0,1052005,"face_henesys2"
"npc",0,1052006,"subway_ticket"
"npc",0,1052007,"subway_in"
"npc",0,1052008,"subway_get1"
"npc",0,1052009,"subway_get2"
"npc",0,1052010,"subway_get3"
"npc",0,1052011,"subway_out"
"npc",0,1052012,"go_pc"
"npc",0,1052013,"go_pcmap"
"npc",0,1052015,"mouse"
"npc",0,1052016,"taxi3"
"npc",0,1052100,"hair_kerning1"
"npc",0,1052101,"hair_kerning2"
"npc",0,1052107,"sca_Shade"
"npc",0,1052109,"givebubbleDoll1"
"npc",0,1052110,"givebubbleDoll2"
"npc",0,1052111,"givebubbleDoll3"
"npc",0,1052112,"givebubbleDoll4"
"npc",0,1052114,"enter_thief"
"npc",0,1052115,"metroIm"
"npc",0,1052125,"Depart_topFloorIn"
"npc",0,1061000,"refine_sleepy"
"npc",0,1061006,"flower_in"
"npc",0,1061007,"flower_out"
"npc",0,1061009,"crack"
"npc",0,1061010,"3jobExit"
"npc",0,1061012,"s4snipe"
"npc",0,1061014,"balog_accept"
"npc",0,1061016,"balog_scroll"
"npc",0,1061018,"balog_InOut"
"npc",0,1061100,"hotel1"
"npc",0,1063000,"viola_pink"
"npc",0,1063001,"viola_blue"
"npc",0,1063002,"viola_white"
"npc",0,1063011,"Dollcave"
"npc",0,1063012,"holySton"
