level,mobid
1,7130200
2,210100
2,210100
2,210100
3,7130100
3,7130100
4,6130104
4,6130104
4,6130104
4,6130104
4,6130104
5,6230101
5,6230101
5,6230101
5,6230101
5,6230101
6,6300003
6,6300003
6,6300003
6,6300003
6,6300003
7,6400003
7,6400003
7,6400003
7,6400003
7,6400003
8,9400100
9,9400101
10,9400102
11,9400100
11,9400101
12,9400100
12,9400102
13,9400101
13,9400102
14,9400100
14,9400101
14,9400102
15,9400110
16,9400111
17,9400102
17,9400110
18,9400101
18,9400111
19,9400110
19,9400111
20,9400111
20,9400110
20,9400101
21,9400110
21,9400111
21,9400102
22,9400100
22,9400110
22,9400111
22,9400102
23,9400100
23,9400110
24,9400110
24,9400111
25,9400110
26,9400100
26,9400101
26,9400102
26,9400110
26,9400111
27,4230116
28,9300009
28,9300009
29,9300015
29,9300015
29,9300015
29,9300015
29,9300015
30,9300016
30,9300016
30,9300016
30,9300016
30,9300016
31,9300017
31,9300017
31,9300017
31,9300017
31,9300017
32,6230101
32,6230101
32,6230101
32,6230101
32,6230101
33,6300003
33,6300003
33,6300003
33,6300003
33,6300003
34,6400003
34,6400003
34,6400003
34,6400003
34,6400003
35,6400004
35,6400004
35,6400004
35,6400004
35,6400004
36,6300003
36,6300003
36,6300003
36,6300003
36,6300003
37,6400003
37,6400003
37,6400003
37,6400003
37,6400003
38,6400004
38,6400004
38,6400004
38,6400004
38,6400004
39,8500003
39,8500003
39,8500003
39,8500003
40,8500004
40,8500004
40,8500004
40,8500004
41,8510100
41,8510100
41,8510100
41,8510100
41,8510100
42,8510100
42,8510100
42,8510100
42,8510100
42,8510100
43,8510100
43,8510100
43,8510100
43,8510100
43,8510100
44,8510100
44,8510100
44,8510100
44,8510100
44,8510100
45,9300020
45,9300020
45,9300020
45,9300020
46,9300026
46,9300026
46,9300026
46,9300026
46,9300026
46,9300026
47,9300035
47,9300035
47,9300035
47,9300035
47,9300035
48,9300034
48,9300034
48,9300034
48,9300034
48,9300034
49,9300055
49,9300055
50,9300054
50,9300054
51,9300056
51,9300056
51,9300056
52,7130602
53,8810019
53,8810019
53,8810019
53,8810019
53,8810019
54,8810020
54,8810020
54,8810020
54,8810020
54,8810020
55,8810021
