"skill_type",skillid,mob_skillid,mob_skill_level,carnival_point_cost,"target_type","buff_type",buff_time,mobid,prop
"skill",0,120,10,14,"player","normal",0,0,0
"skill",1,121,6,17,"party","normal",0,0,0
"skill",2,122,7,19,"party","normal",0,0,0
"skill",3,123,11,22,"player","normal",0,0,0
"skill",4,124,7,12,"party","normal",0,0,0
"skill",5,125,6,19,"party","normal",0,0,0
"skill",6,126,6,16,"party","normal",0,0,0
"skill",7,127,9,18,"player","normal",0,0,0
"skill",8,0,0,10,"player","random",30,0,100
"skill",9,0,0,10,"party","random",30,0,100
"guardian",0,150,1,17,"mobs","normal",0,0,0
"guardian",1,151,1,16,"mobs","normal",0,0,0
"guardian",2,152,1,17,"mobs","normal",0,0,0
"guardian",3,153,1,16,"mobs","normal",0,0,0
"guardian",4,154,1,13,"mobs","normal",0,0,0
"guardian",5,155,1,16,"mobs","normal",0,0,0
"guardian",6,156,1,12,"mobs","normal",0,0,0
"guardian",7,140,10,35,"mobs","normal",0,0,0
"guardian",8,141,9,35,"mobs","normal",0,0,0
"mc1_summon",1,0,0,7,"party","normal",0,9300127,0
"mc1_summon",2,0,0,7,"party","normal",0,9300128,0
"mc1_summon",3,0,0,8,"party","normal",0,9300129,0
"mc1_summon",4,0,0,8,"party","normal",0,9300130,0
"mc1_summon",5,0,0,9,"party","normal",0,9300131,0
"mc1_summon",6,0,0,9,"party","normal",0,9300132,0
"mc1_summon",7,0,0,10,"party","normal",0,9300133,0
"mc1_summon",8,0,0,11,"party","normal",0,9300134,0
"mc1_summon",9,0,0,12,"party","normal",0,9300135,0
"mc1_summon",10,0,0,30,"party","normal",0,9300136,0
"mc2_summon",1,0,0,7,"party","normal",0,9300315,0
"mc2_summon",2,0,0,7,"party","normal",0,9300316,0
"mc2_summon",3,0,0,8,"party","normal",0,9300317,0
"mc2_summon",4,0,0,8,"party","normal",0,9300318,0
"mc2_summon",5,0,0,9,"party","normal",0,9300319,0
"mc2_summon",6,0,0,9,"party","normal",0,9300320,0
"mc2_summon",7,0,0,10,"party","normal",0,9300321,0
"mc2_summon",8,0,0,11,"party","normal",0,9300322,0
"mc2_summon",9,0,0,12,"party","normal",0,9300323,0
"mc2_summon",10,0,0,30,"party","normal",0,9300324,0
