"object_type",objectid,"label"
"item",1002940,""
"item",1003043,""
"item",1012139,""
"item",1012140,""
"item",1012141,""
"item",1012146,""
"item",1042178,""
"item",1042180,""
"item",1052183,""
"item",1102226,""
"item",1102227,""
"item",3010061,""
"item",3010081,""
"item",3010082,""
"item",3010083,""
"item",3010084,""
"item",3994096,""
"item",3994097,""
"item",3994098,""
"item",3994099,""
"item",3994100,""
"item",4000209,""
"item",4000210,""
"item",4001170,""
"item",4001171,""
"item",4001172,""
"item",4001173,""
"item",4001326,""
"item",4001327,""
"item",4001328,""
"item",4001329,""
"item",4001330,""
"item",4001331,""
"item",4001332,""
"item",4031832,""
"item",4031835,""
"item",5000040,""
"item",5000043,""
"item",5000046,""
"item",5120016,""
"item",5120017,""
"item",5120018,""
"item",5120019,""
"item",5120020,""
"item",5120021,""
"item",5120022,""
"item",5120023,""
"item",5120024,""
"item",5120025,""
"item",5120026,""
"item",5121020,""
"item",5500000,""
"skill",8001000,""
"skill",8001001,""
"map",200090080,""
"map",200090090,""
"map",890000001,""
"map",910032200,""
"map",910050000,""
"map",950000000,""
"mob",6400005,""
"mob",9101003,""
"mob",9700030,""
"mob",9700031,""
"mob",9700032,""
"mob",9700033,""
"mob",9700034,""
"mob",9700035,""
"mob",9700036,""
"mob",9700037,""
"mob",9700038,""
"npc",1013000,""
"npc",1013001,""
"npc",1013002,""
"npc",1013100,""
"npc",1013101,""
"npc",1013102,""
"npc",1013103,""
"npc",1013104,""
"npc",1013105,""
"npc",1013201,""
"npc",1013202,""
"npc",1013203,""
"npc",9330000,""
"npc",9330001,""
"npc",9330002,""
"npc",9330003,""
"npc",9330004,""
"npc",9330005,""
"npc",9330006,""
"npc",9330007,""
"npc",9330008,""
"npc",9330009,""
"npc",9330010,""
"npc",9330011,""
"npc",9330013,""
"npc",9330014,""
"npc",9330015,""
"npc",9330016,""
"npc",9330017,""
"npc",9330018,""
"npc",9330019,""
"npc",9330020,""
"npc",9330021,""
"npc",9330022,""
"npc",9330023,""
"npc",9330024,""
"npc",9330025,""
"npc",9330026,""
"npc",9330027,""
"npc",9330028,""
"npc",9330029,""
"npc",9330030,""
"npc",9330031,""
"npc",9330032,""
"quest",1115,""
"quest",1116,""
"quest",1117,""
"quest",1118,""
"quest",1119,""
"quest",1120,""
"quest",1121,""
"quest",1122,""
"quest",1123,""
"quest",1124,""
"quest",2147,""
"quest",4000,""
"quest",4001,""
"quest",4002,""
"quest",4003,""
"quest",4004,""
"quest",4005,""
"quest",4006,""
"quest",4007,""
"quest",4008,""
"quest",4009,""
"quest",4010,""
"quest",4011,""
"quest",4012,""
"quest",4013,""
"quest",4014,""
"quest",4100,""
"quest",4101,""
"quest",4102,""
"quest",4103,""
"quest",4104,""
"quest",4105,""
"quest",4106,""
"quest",4107,""
"quest",4108,""
"quest",4109,""
"quest",4200,""
"quest",4201,""
"quest",4202,""
"quest",4203,""
"quest",4204,""
"quest",4205,""
"quest",4206,""
"quest",4207,""
"quest",4208,""
"quest",4209,""
"quest",4210,""
"quest",4211,""
"quest",4212,""
"quest",4213,""
"quest",4214,""
"quest",4215,""
"quest",4216,""
"quest",4217,""
"quest",4218,""
"quest",9012,""
"quest",9100,""
"quest",9110,""
"quest",9120,""
"quest",9130,""
"quest",9140,""
"quest",9141,""
"quest",9142,""
"quest",9143,""
"quest",9150,""
"quest",9151,""
"quest",9152,""
"quest",9153,""
"quest",9154,""
"quest",9155,""
"quest",9156,""
"quest",9160,""
"quest",9161,""
"quest",9162,""
"quest",9163,""
"quest",9164,""
"quest",9165,""
"quest",9166,""
"quest",9167,""
"quest",9168,""
"quest",9169,""
"quest",9170,""
"quest",9171,""
"quest",9172,""
"quest",9173,""
"quest",9180,""
"quest",9181,""
"quest",9182,""
"quest",9183,""
"quest",9190,""
"quest",9191,""
"quest",9192,""
"quest",9193,""
"quest",9210,""
"quest",9220,""
"quest",9230,""
"quest",9240,""
"quest",9261,""
"quest",9262,""
"quest",9263,""
"quest",9264,""
"quest",9265,""
"quest",9270,""
"quest",9280,""
"quest",9281,""
"quest",9282,""
"quest",9283,""
"quest",9284,""
"quest",9290,""
"quest",9291,""
"quest",9292,""
"quest",9300,""
"quest",9301,""
"quest",9302,""
"quest",9303,""
"quest",9304,""
"quest",9305,""
"quest",9306,""
"quest",9320,""
"quest",9321,""
"quest",9322,""
"quest",9323,""
"quest",9324,""
"quest",9325,""
"quest",9330,""
"quest",9331,""
"quest",9332,""
"quest",9333,""
"quest",9340,""
"quest",9341,""
"quest",9350,""
"quest",9351,""
"quest",9352,""
"quest",9360,""
"quest",9370,""
"quest",9371,""
"quest",9372,""
"quest",9380,""
"quest",9381,""
"quest",9382,""
"quest",9383,""
"quest",9384,""
"quest",9385,""
"quest",9391,""
"quest",9392,""
"quest",9393,""
"quest",9394,""
"quest",9395,""
"quest",9396,""
"quest",9397,""
"quest",9401,""
"quest",9402,""
"quest",9403,""
"quest",9404,""
"quest",9405,""
"quest",9406,""
"quest",9407,""
"quest",9408,""
"quest",9409,""
"quest",9410,""
"quest",9411,""
"quest",9416,""
"quest",9421,""
"quest",9422,""
"quest",9423,""
"quest",9424,""
"quest",9425,""
"quest",9426,""
"quest",9427,""
"quest",9428,""
"quest",9429,""
"quest",9430,""
"quest",9431,""
"quest",9432,""
"quest",9440,""
"quest",9441,""
"quest",9442,""
"quest",9443,""
"quest",9444,""
"quest",9445,""
"quest",9450,""
"quest",9451,""
"quest",9470,""
"quest",9471,""
"quest",9472,""
"quest",9473,""
"quest",9474,""
"quest",9475,""
"quest",9476,""
"quest",9477,""
"quest",9490,""
